Ticker,Empresa,Razão Social,Situação Registro,Situação Emissor,Segmento de Listagem,Atividade,Ação,Data da Cotação,Tipo de Ação,Último Preço de Fechamento,Fator de Cotação,Volume Financeiro Transacionado,Último Demonstrativo Financeiro,Setor,Subsetor,Segmento,Participação em Índices,Preço/Lucro,Preço/VPA,Preço/Receita Líquida,Preço/FCO,Preço/FCF,Preço/Ativo Total,Preço/EBIT,Preço/Capital Giro,Preço/NCAV,EV/EBIT,EV/EBITDA,EV/Receita Líquida,EV/FCO,EV/FCF,EV/Ativo Total,Market Cap Empresa,Enterprise Value,Data Demonstração Financeira Atual,Preço Atual da Ação,Data do Preço da Ação,Dividend Yield,Receita Líquida,Resultado Bruto,EBIT,Depreciação e Amortização,EBITDA,Lucro Líquido,Lucro/Ação,Menor Preço 52 semanas,Maior Preço 52 semanas,Variação 2024,Variação 1 ano,Variação 2 anos(total),Variação 2 anos(anual),Variação 3 anos(total),Variação 3 anos(anual),Variação 4 anos(total),Variação 4 anos(anual),Variação 5 anos(total),Variação 5 anos(anual),Volume Diário Médio (3 meses),Retorno s/ Capital Tangível Inicial,Retorno s/ Capital Investido Inicial,Retorno s/ Capital Tangível Inicial Pré-Impostos,Retorno s/ Capital Investido Inicial Pré-Impostos,Retorno s/ Patrimônio Líquido Inicial,Retorno s/ Ativo Inicial,Margem Bruta,Margem Líquida,Margem EBIT,Margem EBITDA,Giro do Ativo Inicial,Alavancagem Financeira,Passivo/Patrimônio Líquido,Dívida Líquida/EBITDA,Caixa e Equivalentes de Caixa,Ativo Total,Dívida de Curto Prazo,Dívida de Longo Prazo,Dívida Bruta,Dívida Líquida,Patrimônio Líquido,Valor Patrimonial da Ação,Ações Ordinárias,Ações Preferenciais,Total,Ações Ordinárias em Tesouraria,Ações Preferenciais em Tesouraria,Total em Tesouraria,Ações Ordinárias (Exceto Tesouraria),Ações Preferenciais (Exceto Tesouraria),Total (Exceto Tesouraria),Fluxo de Caixa Operacional,Fluxo de Caixa de Investimentos,Fluxo de Caixa de Financiamentos,Aumento (Redução) de Caixa e Equivalentes,CAPEX 3 meses,Fluxo de Caixa Livre 3 meses,CAPEX 12 meses,Fluxo de Caixa Livre 12 meses,Receita de Intermediação Financeira,Resultado Bruto de Intermediação Financeira,Receita de Prestação de Serviços,Não existem dados para este código de negociação,Dados existentes para códigos de negociação abaixo:,Ordinária,Preferencial,Sem dados para mostrar,Unit
AALR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AALR3,ALLIAR,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,ATIVO,FASE OPERACIONAL,Novo Mercado,Prestação de serviços de medicina diagnóstica,AALR3,13/12/2024,ON,"R$ 10,26",1 Ação,"R$ 102,73 mil",ITR - 30/09/2024,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,"IGC, IGNM, ITAG","-7,36","1,06","1,01","6,16","11,39","0,46","18,43","-8,36","-0,74","27,04","10,29","1,48","9,04","16,71","0,68","R$ 1,21 B","R$ 1,78 B",30/09/2024,"R$ 10,26",13/12/2024,"0,00%","R$ 317,88 M","R$ 99,43 M","R$ 44,57 M","- R$ 26,60 M","R$ 71,17 M","R$ 1,80 M","R$ 0,02","R$ 6,19","R$ 17,07","20,71%","-6,30%","-51,14%","-30,14%","-41,20%","-16,24%","-14,85%","-3,94%","-43,00%","-10,62%","R$ 268,36 mil","3,86%","2,45%","5,85%","3,72%","-16,24%","-6,00%","30,37%","-13,69%","5,47%","14,37%","0,44","2,30","1,30","3,28","R$ 167,70 M","R$ 2,64 B","R$ 240,38 M","R$ 494,59 M","R$ 734,97 M","R$ 567,27 M","R$ 1,15 B","R$ 9,70",118.292.816,0,118.292.816,90.827,0,90.827,118.201.989,0,118.201.989,"R$ 47,26 M","- R$ 43,99 M","- R$ 90,05 M","- R$ 86,78 M","- R$ 30,10 M","R$ 17,16 M","- R$ 90,37 M","R$ 106,59 M",,,,,,,,,
ABCB4,ABC BRASIL,BCO ABC BRASIL S.A.,ATIVO,FASE OPERACIONAL,Nível 2 de Governança Corporativa,O Banco tem por objeto a prática de operações ativas. passivas e acessórias inerentes às respectivas carteiras autorizadas pelo Banco Central do Brasil.,ABCB4,13/12/2024,PN,"R$ 20,70",1 Ação,"R$ 9,42 M",ITR - 30/09/2024,Financeiro,Intermediários Financeiros,Bancos,"IBRA, IDIV, IFNC, IGC, IGCT, ITAG, SMLL","5,28","0,79","0,66","19,92",,"0,07",,,,,,,,,,"R$ 5,06 B",,30/09/2024,"R$ 20,70",13/12/2024,"7,37%",,,,,,"R$ 255,07 M",,"R$ 19,99","R$ 24,52","-6,20%","-8,20%","30,02%","14,05%","50,05%","14,50%","84,33%","16,53%","45,20%","7,73%","R$ 12,15 M",,,,,"16,77%","1,72%","19,47%","12,58%",,,"0,14","10,85","9,85",,,"R$ 69,21 B",,,,,"R$ 6,38 B","R$ 26,07",122.961.704,121.695.153,244.656.857,0,4.561.796,4.561.796,122.961.704,117.133.357,240.095.061,"R$ 512,11 M","- R$ 16,30 M","- R$ 104,16 M","R$ 391,38 M","- R$ 16,54 M",,"- R$ 86,93 M",,"R$ 1,37 B","R$ 428,15 M","R$ 60,19 M",,,,,,
ABEV3,AMBEV S/A,AMBEV S.A.,ATIVO,FASE OPERACIONAL,Tradicional - BOVESPA,Fabricação e distribuição de cervejas. refrigerantes e bebidas não carbonatadas e não alcoólicas.,ABEV3,13/12/2024,ON,"R$ 13,08",1 Ação,"R$ 407,03 M",ITR - 30/09/2024,Consumo não Cíclico,Bebidas,Cervejas e Refrigerantes,"AGFS, GPTW, IBOVESPA, IBRA, IBRX, IBRX50, ICO2, ICON, INDX, ISE, MLCX","14,78","2,10","2,50","7,89","9,90","1,40","10,46","29,45","-4,89","9,63","7,31","2,30","7,26","9,11","1,29","R$ 206,11 B","R$ 189,71 B",30/09/2024,"R$ 13,08",13/12/2024,"5,58%","R$ 22,10 B","R$ 11,12 B","R$ 5,35 B","- R$ 1,66 B","R$ 7,02 B","R$ 3,46 B","R$ 0,22","R$ 11,09","R$ 14,42","-4,60%","-4,88%","-3,41%","-1,72%","-6,40%","-2,18%","-0,24%","-0,06%","-16,20%","-3,47%","R$ 411,72 M","33,65%","16,99%","50,98%","25,74%","15,45%","10,11%","50,98%","16,92%","23,92%","31,49%","0,60","1,50","0,50","-0,63","R$ 19,78 B","R$ 147,29 B","R$ 1,21 B","R$ 2,17 B","R$ 3,38 B","- R$ 16,40 B","R$ 98,14 B","R$ 6,23",15.757.657.000,0,15.757.657.000,29.482.000,0,29.482.000,15.728.175.000,0,15.728.175.000,"R$ 8,11 B","- R$ 1,13 B","- R$ 1,09 B","R$ 5,63 B","- R$ 1,16 B","R$ 6,95 B","- R$ 5,31 B","R$ 20,82 B",,,,,,,,,
AERI3,AERIS,AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A,ATIVO,FASE OPERACIONAL,Novo Mercado,Exploração de negócio de construção e comercialização de pás de rotores para turbinas utilizadas na geração eólica de energia.,AERI3,13/12/2024,ON,"R$ 8,50",1 Ação,"R$ 15,97 M",ITR - 30/09/2024,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,"GPTW, IBRA, IGC, IGCT, IGNM, ISE, ITAG, SMLL","-3,20","0,51","0,26","4,48","5,86","0,15","7,09","1,30","-0,25","14,78","7,12","0,55","9,33","12,21","0,31","R$ 528,02 M","R$ 1,10 B",30/09/2024,"R$ 8,50",13/12/2024,"0,00%","R$ 367,43 M","R$ 33,67 M","R$ 953,00 mil","- R$ 30,18 M","R$ 31,14 M","- R$ 56,68 M","- R$ 0,91","R$ 5,05","R$ 20,20","-51,15%","-57,50%","-56,19%","-33,84%","-94,28%","-61,49%","-94,17%","-50,89%",-,-,"R$ 2,79 M","2,68%","2,67%","4,06%","4,05%","-20,23%","-4,31%","10,14%","-8,21%","3,71%","7,69%","0,53","3,45","2,45","3,70","R$ 881,32 M","R$ 3,58 B","R$ 798,62 M","R$ 654,76 M","R$ 1,45 B","R$ 572,06 M","R$ 1,04 B","R$ 16,70",62.120.196,0,62.120.196,835.255,0,835.255,61.284.941,0,61.284.941,"- R$ 58,84 M","- R$ 29,38 M","- R$ 7,89 M","- R$ 96,10 M","- R$ 16,39 M","- R$ 75,23 M","- R$ 27,79 M","R$ 90,07 M",,,,,,,,,
AESO3,AESOPERACOES,AES BRASIL OPERAÇÕES S.A.,ATIVO,PARALISADA,Tradicional - BOVESPA,Geração e comercialização de energia elétrica,AESO3,NA,ON,NA,NA,NA,ITR - 30/09/2024,Utilidade Pública,Energia Elétrica,Energia Elétrica,-,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",NA,NA,NA,NA,NA,NA,NA,NA,30/09/2024,"R$ 0,00",//0,"0,00%","R$ 948,47 M","R$ 174,51 M","R$ 99,73 M","- R$ 130,04 M","R$ 229,77 M","- R$ 45,92 M","- R$ 0,02",,,,,,,,,,,,,,"4,49%","5,02%","6,81%","7,61%","-0,36%","-0,09%","26,80%","-0,31%","19,74%","35,66%","0,29","4,29","3,29","4,97","R$ 135,33 M","R$ 11,26 B","R$ 1,09 B","R$ 4,89 B","R$ 5,99 B","R$ 5,85 B","R$ 2,63 B","R$ 1,29",2.031.549.574,0,2.031.549.574,0,0,0,2.031.549.574,0,2.031.549.574,"R$ 323,03 M","- R$ 179,55 M","- R$ 164,45 M","- R$ 20,97 M","- R$ 58,05 M","R$ 264,97 M","- R$ 164,13 M","R$ 582,79 M",,,,,,,,,
AFLT3,AFLUENTE T,AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A,ATIVO,FASE OPERACIONAL,Tradicional - BOVESPA,Transmissão de Energia Elétrica,AFLT3,13/12/2024,ON,"R$ 7,00",1 Ação,"R$ 7,00 mil",ITR - 30/09/2024,Utilidade Pública,Energia Elétrica,Energia Elétrica,-,"19,54","1,78","8,06","14,45","14,61","1,41","14,94","15,46","-11,57","14,23","13,99","7,67","13,76","13,91","1,34","R$ 441,59 M","R$ 420,45 M",30/09/2024,"R$ 7,00",13/12/2024,"8,32%","R$ 20,68 M","R$ 9,69 M","R$ 9,17 M","- R$ 353,00 mil","R$ 9,52 M","R$ 6,06 M","R$ 0,10","R$ 6,60","R$ 7,97","-10,56%","-10,34%","-13,11%","-6,80%","-7,66%","-2,62%","-11,27%","-2,95%","-24,70%","-5,51%","R$ 1,76 mil","7,25%","7,81%","10,98%","11,83%","8,64%","7,22%","59,79%","41,22%","53,93%","54,84%","0,18","1,27","0,27","-0,70","R$ 21,14 M","R$ 314,21 M","R$ 0,00","R$ 0,00","R$ 0,00","- R$ 21,14 M","R$ 247,46 M","R$ 3,92",63.085.000,0,63.085.000,0,0,0,63.085.000,0,63.085.000,"- R$ 3,27 M","- R$ 84,00 mil","- R$ 34,00 mil","- R$ 3,39 M","- R$ 84,00 mil","- R$ 3,35 M","- R$ 316,00 mil","R$ 30,24 M",,,,,,,,,
AGRO3,BRASILAGRO,BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,ATIVO,FASE OPERACIONAL,Novo Mercado,EMPRESA DE DESENVOLVIMENTO AGROPECUARIO,AGRO3,13/12/2024,ON,"R$ 23,47",1 Ação,"R$ 3,68 M",ITR - 30/09/2024,Consumo não Cíclico,Agropecuária,Agricultura,"AGFS, IBRA, ICON, IDIV, IGC, IGCT, IGNM, ITAG, SMLL","8,19","1,06","1,96","122,91","-42,09","0,63","8,01","4,15","-2,40","11,42","8,80","2,79","175,19","-60,00","0,89","R$ 2,41 B","R$ 3,44 B",30/09/2024,"R$ 23,47",13/12/2024,"6,63%","R$ 435,84 M","R$ 134,68 M","R$ 99,98 M","- R$ 41,11 M","R$ 141,09 M","R$ 97,46 M","R$ 0,95","R$ 21,81","R$ 26,43","-3,85%","-3,63%","2,83%","1,41%","28,88%","8,83%","39,31%","8,65%","108,83%","15,85%","R$ 6,00 M","7,01%","7,16%","10,63%","10,86%","13,08%","8,50%","34,91%","23,93%","24,45%","31,74%","0,36","1,70","0,70","2,63","R$ 157,84 M","R$ 3,86 B","R$ 291,95 M","R$ 891,13 M","R$ 1,18 B","R$ 1,03 B","R$ 2,27 B","R$ 22,10",102.683.444,0,102.683.444,0,0,0,102.683.444,0,102.683.444,"R$ 20,16 M","- R$ 41,04 M","R$ 7,80 M","- R$ 13,12 M","- R$ 23,48 M","- R$ 3,33 M","- R$ 76,86 M","- R$ 57,25 M",,,,,,,,,
AGXY3,AGROGALAXY,AGROGALAXY PARTICIPAÇÕES S.A.,ATIVO,FASE OPERACIONAL,Novo Mercado,Comércio de insumos agrícolas (fertilizantes. defensivos biológicos. inoculantes e sementes) e de grãos,AGXY3,13/12/2024,ON,"R$ 0,56",1 Ação,"R$ 417,45 mil",ITR - 30/06/2024,Consumo não Cíclico,Agropecuária,Agricultura,"IGC, IGNM, ITAG","-0,28","0,20","0,02","-20,47","-2,38","0,02","-2,52","-0,32","-0,02","-21,06","11,92","0,16","-171,04","-19,86","0,18","R$ 142,54 M","R$ 1,19 B",30/06/2024,"R$ 0,56",13/12/2024,"0,00%","R$ 1,06 B","R$ 24,15 M","- R$ 153,99 M","- R$ 38,31 M","- R$ 115,69 M","- R$ 295,73 M","- R$ 1,16","R$ 0,39","R$ 3,80","-83,67%","-85,26%","-93,37%","-74,29%","-94,20%","-61,33%",-,-,-,-,"R$ 701,21 mil","-2,18%","-1,63%","-3,30%","-2,47%","-48,63%","-5,86%","9,19%","-6,90%","-0,76%","1,34%","0,85","9,24","8,24","10,49","R$ 393,26 M","R$ 6,51 B","R$ 806,93 M","R$ 635,08 M","R$ 1,44 B","R$ 1,05 B","R$ 705,14 M","R$ 2,77",254.543.576,0,254.543.576,3.395.679,0,3.395.679,251.147.897,0,251.147.897,"R$ 286,98 M","- R$ 180,35 M","- R$ 65,96 M","R$ 40,68 M","- R$ 1,69 M","R$ 285,30 M","- R$ 53,02 M","- R$ 59,99 M",,,,,,,,,
AHEB3,SPTURIS,SAO PAULO TURISMO S.A.,ATIVO,FASE OPERACIONAL,Tradicional - BOVESPA,Fiscalização da concessão do Complexo Anhembi. produção e organização de eventos. formulação e execução da político de turismo do Município de São Paulo.,AHEB3,11/12/2024,ON,"R$ 38,00",1 Ação,"R$ 3,80 mil",ITR - 30/09/2024,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,-,"2,27","2,03","0,45","4,76","4,79","0,63","2,03","1,60","-2,13","1,60","1,54","0,36","3,77","3,78","0,50","R$ 325,62 M","R$ 256,74 M",30/09/2024,"R$ 38,00",11/12/2024,"0,00%","R$ 186,42 M","R$ 22,69 M","R$ 14,83 M","- R$ 1,88 M","R$ 16,71 M","R$ 26,00 M","R$ 3,04","R$ 14,99","R$ 38,00","145,16%","123,40%","90,00%","38,02%","35,57%","10,71%","68,89%","14,02%","22,58%","4,14%","R$ 2,22 mil","40,97%","760,28%","62,08%","1.151,94%","856,83%","38,51%","28,07%","20,02%","22,41%","23,40%","1,92","3,22","2,22","-0,41","R$ 73,50 M","R$ 515,82 M","R$ 1,57 M","R$ 3,05 M","R$ 4,62 M","- R$ 68,88 M","R$ 160,22 M","R$ 18,76",8.407.000,135.000,8.542.000,0,1.000,1.000,8.407.000,134.000,8.541.000,"- R$ 12,25 M","- R$ 1,77 M","R$ 1,45 M","- R$ 12,57 M","- R$ 24,00 mil","- R$ 12,27 M","- R$ 312,00 mil","R$ 67,83 M",,,,,,,,,
