Ticker,Valor atual,Min. 52 semanas,Máx. 52 semanas,Dividend Yield,Valorização (12m),Tipo,PART. IBOV,MERCADO DE OPÇÕES,TOMADOR (média),DOADOR (média),Nº DE AÇÕES ALUGADAS (dia),VOLUME (dia),Nº DE CONTRATOS,,Ano passado,Ano atual,Comparação,Provisionado,Comparação + Provisionado,Ativos,Ativo circulante,Dívida bruta,Disponibilidade,Dívida líquida,Valor de mercado,Valor de firma,Segmento de listagem,Free Float,Setor de Atuação,Subsetor de Atuação,Segmento de Atuação,Investidores,Institucional,Pessoa jurídica,Pessoa física,{helper},UNIT - Composição
alsc3,"27,75",-,-,-,-%,ON,"0,000",0,"0,21","0,14",22.671,630.481,17,2.593.964.000,"0,0000","0,0000","0,00%","0,0000","0,00%",4.738.204.000,742.653.000,0,541.181.000,-541.181.000,-,-,,--%,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis,2.710,6,301,2.403,-,
also3,"23,33","15,15","25,47","6,65","7,86%",ON,"0,511",108,"0,12","0,12",964.356,23.279.554,73,14.003.250.000,"0,5190","1,4073","171,15%","0,0000","171,15%",27.504.919.000,4.605.377.000,0,3.567.104.000,-3.567.104.000,11.488.544.994,7.921.440.994,Novo Mercado,"90,69%",Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis,73.259,1.260,283,71.716,-,
aluguel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alup11,"28,38","26,46","32,42","4,97","7,26%",,"0,000",24,"0,34","0,34",112.541,3.484.269,56,8.114.359.000,"1,8000","1,4100","21,67%","0,0000","21,67%",30.002.997.000,6.175.583.000,12.316.629.000,3.509.100.000,8.807.529.000,8.995.010.085,17.802.539.085,Nível 2,"47,84%",Utilidade Pública,Energia Elétrica,Energia Elétrica,127.685,908,908,125.869,-,1 ON (ALUP3)
alup3,"9,85","8,84","11,15","4,77","11,30%",ON,"0,000",0,"5,00","5,00",364,3.786,1,8.114.359.000,"0,6000","0,4700","21,67%","0,0000","21,67%",30.002.997.000,6.175.583.000,12.316.629.000,3.509.100.000,8.807.529.000,8.995.010.085,17.802.539.085,Nível 2,"47,84%",Utilidade Pública,Energia Elétrica,Energia Elétrica,127.685,908,908,125.869,-,
alup4,"9,30","8,90","10,62","5,05","4,26%",PN,"0,000",0,"3,00","3,00",1.444,14.787,2,8.114.359.000,"0,6000","0,4700","21,67%","0,0000","21,67%",30.002.997.000,6.175.583.000,12.316.629.000,3.509.100.000,8.807.529.000,8.995.010.085,17.802.539.085,Nível 2,"47,84%",Utilidade Pública,Energia Elétrica,Energia Elétrica,127.685,908,908,125.869,-,
amar3,"0,98","0,90","4,14",-,"-74,68%",ON,"0,000",11,"18,85","18,85",267.785,487.369,78,278.507.000,"0,0000","0,0000","0,00%","0,0000","0,00%",2.010.006.000,569.416.000,673.963.000,31.384.000,642.579.000,503.186.922,1.145.765.922,Novo Mercado,"7,06%",Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados,63.674,311,269,63.094,-,
ambp3,"163,56","8,05","190,00",-,"996,25%",ON,"0,000",60,"3,67","3,67",673.921,10.196.425,73,1.765.848.000,"0,1341","0,0000","100,00%","0,0000","100,00%",14.172.412.000,5.856.445.000,8.594.926.000,3.717.077.000,4.877.849.000,27.321.368.094,32.199.217.094,Novo Mercado,"22,51%",Utilidade Pública,Água e Saneamento,Água e Saneamento,40.743,412,207,40.124,-,
amer3,"8,70","3,14","95,00",-,"-90,54%",ON,"0,000",0,"29,38","29,38",22.096.134,12.152.874,2.665,-30.359.000.000,"0,0000","0,0000","0,00%","0,0000","0,00%",25.902.000.000,10.705.000.000,29.316.000.000,5.016.000.000,24.300.000.000,1.742.114.170,26.042.114.170,Novo Mercado,"50,00%",Consumo Cíclico,Comércio,Produtos Diversos,149.018,563,2.089,146.366,-,
andg3b,"28,82",-,-,-,-%,ON,"0,000",0,"0,00","0,00",0,0,0,1.483.493.000,"0,0000","0,0000","0,00%","0,0000","0,00%",1.753.215.000,45.022.000,209.401.000,9.246.000,200.155.000,-,-,,--%,Financeiro e Outros,Holdings Diversificadas,Holdings Diversificadas,10,0,1,9,-,
andg4b,"0,00",-,-,-,-%,PN,"0,000",0,"0,00","0,00",0,0,0,1.483.493.000,"0,0000","0,0000","0,00%","0,0000","0,00%",1.753.215.000,45.022.000,209.401.000,9.246.000,200.155.000,-,-,,--%,Financeiro e Outros,Holdings Diversificadas,Holdings Diversificadas,10,0,1,9,-,
anim3,"2,41","2,24","4,66","19,55","-30,75%",ON,"0,000",83,"0,12","0,12",789.997,3.720.886,46,2.278.193.000,"0,0000","0,4713","0,00%","0,0000","0,00%",9.954.648.000,2.388.248.000,5.408.633.000,1.475.168.000,3.933.465.000,973.323.820,4.906.788.820,Novo Mercado,"63,71%",Consumo Cíclico,Diversos,Serviços Educacionais,20.160,443,115,19.602,-,
aper3,"46,75","36,70","47,00",-,"8,95%",ON,"0,000",0,"4,03","4,03",667,29.715,8,472.202.000,"0,3237","0,0000","100,00%","0,0000","100,00%",939.386.000,247.459.000,188.864.000,124.362.000,64.502.000,953.269.947,1.017.771.947,,"2,00%",Financeiro e Outros,Previdência e Seguros,Corretoras de Seguros,3.026,17,96,2.913,-,
apti3,"197,64",-,-,"22,22",-%,ON,"0,000",0,"0,00","0,00",0,0,0,263.057.000,"0,0000","43,9057","0,00%","0,0000","0,00%",500.122.000,213.519.000,56.815.000,71.229.000,-14.414.000,37.417.457,23.003.457,,"15,46%",Consumo não Cíclico,Agropecuária,Agricultura,5,0,1,4,-,
apti4,"2.930,92","2.930,92","2.930,92","1,65","0,00%",PN,"0,000",0,"0,00","0,00",0,0,0,263.057.000,"0,0000","48,2962","0,00%","0,0000","0,00%",500.122.000,213.519.000,56.815.000,71.229.000,-14.414.000,37.417.457,23.003.457,,"15,46%",Consumo não Cíclico,Agropecuária,Agricultura,5,0,1,4,-,
arml3,"7,60","7,14","17,45","4,18","-52,80%",ON,"0,000",6,"2,61","2,61",215.626,2.684.544,35,1.288.620.000,"0,0000","0,3179","0,00%","0,0000","0,00%",4.898.506.000,1.789.139.000,2.854.485.000,1.175.704.000,1.678.781.000,2.633.355.137,4.312.136.137,Novo Mercado,"49,52%",Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,2.279,192,29,2.058,-,
arzz3,"48,70","46,35","80,67","1,35","-38,35%",ON,"0,253",211,"0,89","0,89",684.232,43.428.205,375,3.069.791.000,"1,9325","0,5407","72,02%","0,0000","72,02%",6.002.810.000,2.843.934.000,1.212.509.000,562.698.000,649.811.000,8.253.397.826,8.903.208.826,Novo Mercado,"66,17%",Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados,38.086,780,370,36.936,-,
asai3,"7,41","6,50","14,93",-,"-42,69%",ON,"0,499",155,"3,58","3,58",11.312.765,168.333.943,791,4.995.000.000,"0,0500","0,0000","100,00%","0,0000","100,00%",43.918.000.000,15.387.000.000,16.618.000.000,4.032.000.000,12.586.000.000,10.019.393.561,22.605.393.561,Novo Mercado,"99,64%",Consumo não Cíclico,Comércio e Distribuição,Alimentos,45.945,1.481,583,43.881,-,
atmp3,"1,32","1,28","4,55",-,"-59,76%",ON,"0,000",0,"5,25","5,25",400,864,1,394.768.000,"0,0000","0,0000","0,00%","0,0000","0,00%",1.296.471.000,324.604.000,243.875.000,68.959.000,174.916.000,35.257.670,210.173.670,,"38,07%",Bens Industriais,Serviços,Serviços Diversos,4.005,37,17,3.951,-,
atom3,"3,98","1,89","4,80",-,"89,52%",ON,"0,000",0,"15,46","15,46",45,86,1,38.072.000,"0,3204","0,0000","100,00%","0,0000","100,00%",50.926.000,18.103.000,0,7.168.000,-7.168.000,94.743.494,87.575.494,,"26,79%",Financeiro e Outros,Outros,Outros,6.069,0,35,6.034,-,
aura33,"23,60","9,51","24,58","4,33","120,35%",ON,"0,000",0,"11,80","11,80",1.084,39.111,3,1.255.341.000,"0,2300","0,6133","166,67%","0,0000","166,67%",5.202.946.000,1.830.175.000,1.855.400.000,1.067.713.000,787.687.000,5.125.815.570,5.913.502.570,,"13,51%",Materiais Básicos,Mineração,Minerais Metálicos,34.127,28,483,33.616,-,
aure3,"10,22","9,76","13,19","18,59","-19,84%",ON,"0,144",34,"0,07","0,07",1.291.193,15.274.813,95,12.587.285.000,"1,5000","0,4000","73,33%","0,0000","73,33%",31.492.257.000,9.676.566.000,8.384.382.000,5.295.721.000,3.088.661.000,10.734.862.894,13.823.523.894,Novo Mercado,"30,82%",Utilidade Pública,Energia Elétrica,Energia Elétrica,44.538,647,464,43.427,-,
avll3,"2,62","2,58","6,35",-,"-46,53%",ON,"0,000",0,"10,00","10,00",4,16,1,-75.358.000,,,%,,%,1.421.363.000,549.878.000,584.016.000,294.057.000,289.959.000,511.764.760,801.723.760,Novo Mercado,"21,36%",Consumo Cíclico,Construção Civil,Incorporações,266,44,4,218,-,
azev3,"1,05","1,03","2,23",-,"-49,52%",ON,"0,000",0,"5,12","5,12",24.600,31.734,2,278.841.000,"0,0000","0,0000","0,00%","0,0000","0,00%",686.918.000,154.334.000,34.968.000,1.950.000,33.018.000,207.464.745,240.482.745,,"100,00%",Bens Industriais,Construção e Engenharia,Construção Pesada,12.361,43,129,12.189,-,
azev4,"1,05","1,03","2,36",-,"-51,83%",PN,"0,000",0,"2,78","2,78",232.773,265.361,14,278.841.000,"0,0000","0,0000","0,00%","0,0000","0,00%",686.918.000,154.334.000,34.968.000,1.950.000,33.018.000,207.464.745,240.482.745,,"100,00%",Bens Industriais,Construção e Engenharia,Construção Pesada,12.361,43,129,12.189,-,
azul4,"5,10","4,04","17,01",-,"-69,80%",PN,"0,082",328,"0,93","0,93",2.019.693,28.518.065,454,-26.166.566.000,,,%,,%,22.831.219.000,4.954.503.000,30.508.584.000,1.475.512.000,29.033.072.000,1.775.498.684,30.808.570.684,Nível 2,"50,08%",Bens Industriais,Transporte,Transporte Aéreo,134.204,395,714,133.095,-,
b3sa3,"9,83","9,83","14,36","4,09","-23,68%",ON,"2,628",411,"0,05","0,05",7.252.098,87.170.218,543,19.145.192.000,"0,3180","0,3011","5,32%","0,0000","5,32%",46.068.083.000,16.434.207.000,12.878.346.000,14.873.101.000,-1.994.755.000,53.342.495.000,51.347.740.000,Novo Mercado,"99,37%",Financeiro e Outros,Serviços Financeiros Diversos,Serviços Financeiros Diversos,359.216,1.528,2.933,354.755,-,
bahi3,"4,51","4,20","9,39",-,"-44,04%",ON,"0,000",0,"5,40","5,40",100,824,1,93.107.000,"0,0000","0,0000","0,00%","0,0000","0,00%",547.054.000,35.000.000,113.649.000,10.785.000,102.864.000,119.021.525,221.885.525,,"22,15%",Consumo Cíclico,Diversos,Serviços Educacionais,1.136,34,43,1.059,-,
balm3,"12,88","9,90","16,20",-,"18,93%",ON,"0,000",0,"2,00","2,00",24,405,1,157.918.000,"0,2159","0,0000","100,00%","0,0000","100,00%",263.441.000,188.625.000,18.290.000,64.465.000,-46.175.000,114.317.000,68.142.000,,"35,56%",Saúde,Equipamentos,Equipamentos,1.102,0,17,1.085,-,
balm4,"10,45","9,23","11,52",-,"13,22%",PN,"0,000",0,"2,00","2,00",5,0,1,157.918.000,"0,2159","0,0000","100,00%","0,0000","100,00%",263.441.000,188.625.000,18.290.000,64.465.000,-46.175.000,114.317.000,68.142.000,,"35,56%",Saúde,Equipamentos,Equipamentos,1.102,0,17,1.085,-,
bauh4,"78,79","73,14","81,05",-,"7,72%",PN,"0,000",0,"5,00","5,00",100,0,1,113.812.000,"1,2093","0,0000","100,00%","0,0000","100,00%",173.093.000,77.424.000,836.000,34.609.000,-33.773.000,-,-,,"28,89%",Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,280,4,8,268,-,
baza3,"88,08","76,54","103,00","7,52","14,78%",ON,"0,000",0,"5,00","5,00",38,3.761,2,6.461.355.000,"5,3298","6,6252","24,30%","0,0000","24,30%",51.049.087.000,2.014.038.000,-,2.014.038.000,-,4.937.616.385,4.937.616.385,,"2,99%",Financeiro e Outros,Intermediários Financeiros,Bancos,15.506,3,539,14.964,-,
bbas3,"25,20","24,85","29,09","10,35","-1,41%",ON,"3,418",634,"0,19","0,19",1.614.653,90.372.128,318,178.886.881.000,"2,1166","2,4364","15,11%","0,1765","23,45%",2.330.349.036.000,85.770.646.000,-,85.770.646.000,-,144.417.017.808,144.417.017.808,Novo Mercado,"49,60%",Financeiro e Outros,Intermediários Financeiros,Bancos,870.412,1.438,15.061,853.913,-,
bbdc3,"11,61","10,76","14,48","11,82","-11,03%",ON,"0,838",118,"0,09","0,09",1.580.939,20.251.829,80,167.127.865.000,"0,8991","0,7285","18,98%","0,0172","17,06%",2.017.703.133.000,212.869.406.000,-,212.869.406.000,-,132.585.767.777,132.585.767.777,Nível 1,"62,15%",Financeiro e Outros,Intermediários Financeiros,Bancos,834.463,1.223,35.088,798.152,-,
bbdc4,"13,31","12,03","16,25","11,34","-10,91%",PN,"3,289",514,"0,02","0,02",3.298.942,47.372.807,225,167.127.865.000,"0,9890","0,8013","18,98%","0,0190","17,06%",2.017.703.133.000,212.869.406.000,-,212.869.406.000,-,132.585.767.777,132.585.767.777,Nível 1,"62,15%",Financeiro e Outros,Intermediários Financeiros,Bancos,834.463,1.223,35.088,798.152,-,
bbml3,"3.936,42",-,-,-,-%,ON,"0,000",0,"0,00","0,00",0,0,0,-22.632.000,"0,0000","0,0000","0,00%","0,0000","0,00%",1.134.298.000,382.911.000,458.574.000,3.452.000,455.122.000,160.451.699.192,160.906.821.192,,--%,Bens Industriais,Serviços,Serviços Diversos,3,1,0,2,-,
bbrk3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbse3,"33,66","28,45","37,42","7,88","15,95%",ON,"1,019",217,"0,09","0,09",1.275.676,41.727.362,203,12.251.901.000,"3,4862","2,6522","23,92%","0,0000","23,92%",19.213.887.000,7.454.252.000,-,6.186.125.000,-,67.320.000.000,67.320.000.000,Novo Mercado,"31,87%",Financeiro e Outros,Previdência e Seguros,Seguradoras,355.412,1.310,2.572,351.530,-,
bdll3,"12,00","11,00","13,01",-,"9,09%",ON,"0,000",0,"2,00","2,00",1,11,1,-231.705.000,"0,0000","0,0000","0,00%","0,0000","0,00%",550.260.000,251.585.000,185.740.000,18.752.000,166.988.000,16.023.014,183.011.014,,"76,93%",Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,1.190,15,18,1.157,-,
bdll4,"8,80","7,00","11,80",-,"3,53%",PN,"0,000",0,"4,00","4,00",8,74,1,-231.705.000,"0,0000","0,0000","0,00%","0,0000","0,00%",550.260.000,251.585.000,185.740.000,18.752.000,166.988.000,16.023.014,183.011.014,,"76,93%",Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,1.190,15,18,1.157,-,
beef11,"3,62",-,-,-,-%,ON,"0,000",110,"0,00","0,00",0,0,0,744.206.000,,,%,,%,35.971.356.000,24.548.406.000,25.686.465.000,16.817.833.000,8.868.632.000,3.449.369.752,12.318.001.752,Novo Mercado,"43,04%",Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,64.663,649,325,63.689,-,
beef3,"5,68","5,38","7,95",-,"-21,76%",ON,"0,070",231,"0,10","0,10",9.135.291,61.297.803,811,744.206.000,"0,5509","0,0000","100,00%","0,0000","100,00%",35.971.356.000,24.548.406.000,25.686.465.000,16.817.833.000,8.868.632.000,3.449.369.752,12.318.001.752,Novo Mercado,"43,04%",Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,64.663,649,325,63.689,-,
bees3,"8,75","8,20","9,40","7,50","6,58%",ON,"0,000",0,"5,00","5,00",279,2.411,2,2.274.873.000,"0,5040","0,5265","4,46%","0,0228","8,98%",37.477.609.000,9.533.290.000,-,9.533.290.000,-,2.779.520.760,2.779.520.760,,"4,59%",Financeiro e Outros,Intermediários Financeiros,Bancos,39.941,8,57,39.876,-,
bees4,"8,93","8,55","10,28","5,30","1,25%",PN,"0,000",0,"5,00","5,00",99,978,1,2.274.873.000,"0,5040","0,3429","31,97%","0,0228","27,45%",37.477.609.000,9.533.290.000,-,9.533.290.000,-,2.779.520.760,2.779.520.760,,"4,59%",Financeiro e Outros,Intermediários Financeiros,Bancos,39.941,8,57,39.876,-,
bfre11,"0,00",-,-,-,-%,,"0,000",0,"0,00","0,00",0,0,0,222.138.000,,,%,,%,253.415.000,15.000,-,15.000,-,-,-,,--%,Financeiro e Outros,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,1,0,1,0,-,
bfre12,"0,00",-,-,-,-%,,"0,000",0,"0,00","0,00",0,0,0,222.138.000,,,%,,%,253.415.000,15.000,-,15.000,-,-,-,,--%,Financeiro e Outros,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,1,0,1,0,-,
bgip3,"26,00","22,57","31,40","8,44","7,44%",ON,"0,000",0,"5,00","5,00",1,29,1,714.729.000,"2,2431","2,1937","2,20%","0,0000","2,20%",10.131.331.000,4.981.031.000,-,2.301.414.000,-,466.943.283,466.943.283,,"8,54%",Financeiro e Outros,Intermediários Financeiros,Bancos,3.381,11,333,3.037,-,
bgip4,"24,32","19,62","27,74","9,92","19,80%",PN,"0,000",0,"10,00","10,00",42,0,5,714.729.000,"2,4674","2,4131","2,20%","0,0000","2,20%",10.131.331.000,4.981.031.000,-,2.301.414.000,-,466.943.283,466.943.283,,"8,54%",Financeiro e Outros,Intermediários Financeiros,Bancos,3.381,11,333,3.037,-,
bidi11,"10,40",-,-,-,-%,,"0,000",0,"34,07","34,07",2.460.925,0,133,8.357.164.000,"0,0000","0,0000","0,00%","0,0000","0,00%",38.625.095.000,1.171.640.000,-,0,-,8.991.139.765,8.991.139.765,,--%,Financeiro e Outros,Intermediários Financeiros,Bancos,1,1,0,0,-,1 ON (BIDI3)
bidi3,"3,40",-,-,-,-%,ON,"0,000",0,"3,20","3,20",4.100,0,3,8.357.164.000,"0,0000","0,0000","0,00%","0,0000","0,00%",38.625.095.000,1.171.640.000,-,0,-,8.991.139.765,8.991.139.765,,--%,Financeiro e Outros,Intermediários Financeiros,Bancos,1,1,0,0,-,
bidi4,"3,41",-,-,-,-%,PN,"0,000",0,"65,46","65,46",13.001,0,16,8.357.164.000,"0,0000","0,0000","0,00%","0,0000","0,00%",38.625.095.000,1.171.640.000,-,0,-,8.991.139.765,8.991.139.765,,--%,Financeiro e Outros,Intermediários Financeiros,Bancos,1,1,0,0,-,
biom3,"8,82","5,10","20,19",-,"48,24%",ON,"0,000",0,"5,95","5,95",1.061,9.814,2,304.663.000,"0,0000","0,0000","0,00%","0,0000","0,00%",504.137.000,286.499.000,133.104.000,186.853.000,-53.749.000,1.118.741.862,1.064.992.862,,"68,74%",Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,2.289,0,109,2.180,-,
bkbr3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blau3,"14,47","9,23","17,40","2,52","-5,79%",ON,"0,000",8,"5,90","5,90",84.913,1.037.637,25,2.097.206.000,"0,4223","0,3643","13,73%","0,0000","13,73%",3.241.494.000,1.585.906.000,549.514.000,431.948.000,117.566.000,2.595.830.297,2.713.396.297,Novo Mercado,"16,55%",Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,9.441,265,54,9.122,-,
blut3,"5,14",-,-,-,-%,ON,"0,000",0,"2,00","2,00",25,0,1,56.569.000,"0,0000","0,0000","0,00%","0,0000","0,00%",189.948.000,66.000,6.748.000,0,6.748.000,14.115.600,20.863.600,,--%,Financeiro e Outros,Holdings Diversificadas,Holdings Diversificadas,6.710,12,55,6.643,-,
blut4,"1,52",-,-,-,-%,PN,"0,000",0,"5,00","5,00",77,0,1,56.569.000,"0,0000","0,0000","0,00%","0,0000","0,00%",189.948.000,66.000,6.748.000,0,6.748.000,14.115.600,20.863.600,,--%,Financeiro e Outros,Holdings Diversificadas,Holdings Diversificadas,6.710,12,55,6.643,-,
bmeb3,"38,55","15,11","39,99","4,39","155,13%",ON,"0,000",0,"5,00","5,00",32,0,2,1.923.002.000,"0,6872","0,9408","36,90%","0,0000","36,90%",24.054.292.000,3.942.653.000,-,3.942.653.000,-,4.130.528.040,4.130.528.040,Nível 1,"46,32%",Financeiro e Outros,Intermediários Financeiros,Bancos,3.766,22,587,3.157,-,
bmeb4,"40,80","13,96","43,87","4,56","192,26%",PN,"0,000",0,"56,47","56,47",177,4.252,3,1.923.002.000,"0,7560","1,0349","36,90%","0,0000","36,90%",24.054.292.000,3.942.653.000,-,3.942.653.000,-,4.130.528.040,4.130.528.040,Nível 1,"46,32%",Financeiro e Outros,Intermediários Financeiros,Bancos,3.766,22,587,3.157,-,
bmgb4,"4,08","2,27","4,52","14,33","79,74%",PN,"0,000",40,"0,24","0,24",19.289,67.512,12,4.341.618.000,"0,0400","0,2520","530,00%","0,0000","530,00%",46.167.919.000,213.315.000,-,213.315.000,-,2.391.252.885,2.391.252.885,Nível 1,"27,15%",Financeiro e Outros,Intermediários Financeiros,Bancos,61.572,39,278,61.255,-,
