Ticker,Valor atual,Min. 52 semanas,Máx. 52 semanas,Dividend Yield,Valorização (12m),Tipo,PART. IBOV,MERCADO DE OPÇÕES,TOMADOR (média),DOADOR (média),Nº DE AÇÕES ALUGADAS (dia),VOLUME (dia),Nº DE CONTRATOS,,Ano passado,Ano atual,Comparação,Provisionado,Comparação + Provisionado,Ativos,Ativo circulante,Dívida bruta,Disponibilidade,Dívida líquida,Valor de mercado,Valor de firma,Segmento de listagem,Free Float,Setor de Atuação,Subsetor de Atuação,Segmento de Atuação,Investidores,Institucional,Pessoa jurídica,Pessoa física,{helper},UNIT - Composição
aalr3,"10,32","6,10","16,81",-,"-0,19%",ON,"0,000",0,"1,44","1,44",14.481,128.736,9,1.119.655.000,"0,0000","0,0000","0,00%","0,0000","0,00%",2.692.409.000,563.769.000,841.166.000,254.478.000,586.688.000,1.220.781.861,1.807.469.861,Novo Mercado,"6,83%",Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,6.067,124,42,5.901,-,
abcb4,"20,71","20,07","24,65","7,37","-7,75%",PN,"0,000",54,"0,06","0,06",599.637,14.978.932,32,6.378.306.000,"0,8360","0,7850","6,10%","0,0000","6,10%",69.206.300.000,5.331.598.000,-,5.331.598.000,-,5.066.843.508,5.066.843.508,Nível 2,"29,91%",Financeiro e Outros,Intermediários Financeiros,Bancos,40.904,282,474,40.148,-,
abev3,"13,11","11,09","14,40","5,57","-5,89%",ON,"2,829",340,"0,17","0,17",4.646.374,57.847.356,458,98.140.388.000,"0,0000","0,0000","0,00%","0,0000","0,00%",147.286.361.000,42.672.930.000,3.380.273.000,20.939.039.000,-17.558.766.000,206.582.887.675,189.024.121.675,,"27,89%",Consumo não Cíclico,Bebidas,Cervejas e Refrigerantes,310.643,652,1.897,308.094,-,
adhm3,"1,56",-,-,-,-%,ON,"0,000",0,"5,00","5,00",38,72,1,-19.776.000,"0,0000","0,0000","0,00%","0,0000","0,00%",242.000,23.000,0,0,0,25.439.770,25.439.770,,--%,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,709,0,15,694,-,
aeri3,"8,49","5,04","20,20",-,"-56,24%",ON,"0,000",6,"0,46","0,46",1.112.102,622.777,28,1.037.685.000,"0,0000","0,0000","0,00%","0,0000","0,00%",3.580.115.000,2.285.015.000,1.453.382.000,881.323.000,572.059.000,527.400.464,1.099.459.464,Novo Mercado,"57,08%",Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,82.804,213,223,82.368,-,
aesb3,"8,12","8,11","12,54","0,92","-32,89%",ON,"0,000",13,"0,06","0,06",629.250,6.412.058,65,4.184.441.000,"0,0000","0,0746","0,00%","0,0000","0,00%",20.947.984.000,3.977.317.000,12.389.335.000,2.109.207.000,10.280.128.000,4.904.883.418,15.185.011.418,,--%,Utilidade Pública,Energia Elétrica,Energia Elétrica,210.278,312,674,209.292,-,
aflt3,"7,00","6,61","7,97","8,32","-9,21%",ON,"0,000",0,"2,75","2,75",400,3.484,2,247.459.000,"0,2626","0,5824","121,75%","0,0000","121,75%",314.207.000,77.347.000,0,21.139.000,-21.139.000,441.592.900,420.453.900,,"1,33%",Utilidade Pública,Energia Elétrica,Energia Elétrica,3.360,102,172,3.086,-,
agro3,"23,43","21,81","26,43","6,64","-3,46%",ON,"0,000",17,"0,15","0,15",245.764,6.094.947,53,2.179.679.000,"3,2124","1,5560","51,56%","0,0000","51,56%",3.605.082.000,1.099.490.000,1.043.998.000,193.894.000,850.104.000,2.405.873.093,3.255.977.093,Novo Mercado,"61,82%",Consumo não Cíclico,Agropecuária,Agricultura,116.757,220,372,116.165,-,
agxy3,"0,57","0,39","3,80",-,"-85,00%",ON,"0,000",0,"6,41","6,41",30.343,60.686,18,705.136.000,"0,0397","0,0000","100,00%","0,0000","100,00%",6.513.329.000,4.248.707.000,1.442.012.000,393.261.000,1.048.751.000,145.089.838,1.193.840.838,Novo Mercado,"31,94%",Consumo não Cíclico,Agropecuária,Agricultura,1.842,60,7,1.775,-,
aheb3,"38,00","14,99","38,00",-,"153,50%",ON,"0,000",0,"2,00","2,00",11,0,1,160.224.000,,,%,,%,515.816.000,310.100.000,4.617.000,73.498.000,-68.881.000,325.620.091,256.739.091,,"3,25%",Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,3.670,0,875,2.795,-,
aheb5,"45,00","16,59","45,00",-,"171,25%",PNA,"0,000",0,"0,01","0,01",2,40,1,160.224.000,,,%,,%,515.816.000,310.100.000,4.617.000,73.498.000,-68.881.000,325.620.091,256.739.091,,"3,25%",Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,3.670,0,875,2.795,-,
aheb6,"35,50","20,00","35,50",-,"77,50%",PNB,"0,000",0,"2,00","2,00",100,0,1,160.224.000,,,%,,%,515.816.000,310.100.000,4.617.000,73.498.000,-68.881.000,325.620.091,256.739.091,,"3,25%",Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,3.670,0,875,2.795,-,
alld3,"7,02","5,16","7,78","40,56","23,37%",ON,"0,000",0,"5,35","5,35",19.400,184.300,10,1.526.617.000,"0,0000","2,3648","0,00%","0,0000","0,00%",3.429.336.000,2.245.764.000,552.041.000,315.822.000,236.219.000,660.293.983,896.512.983,Novo Mercado,"28,90%",Consumo Cíclico,Comércio,Eletrodomésticos,5.659,76,68,5.515,-,
alpa3,"5,94","5,73","10,79",-,"-38,13%",ON,"0,000",0,"5,00","5,00",100,1.004,1,3.956.053.000,"0,0000","0,0000","0,00%","0,0000","0,00%",6.619.179.000,3.477.619.000,1.374.074.000,1.419.235.000,-45.161.000,4.153.584.028,4.108.423.028,Nível 1,"25,93%",Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados,19.119,175,1.082,17.862,-,
alpa4,"6,22","6,02","10,32",-,"-34,73%",PN,"0,051",100,"0,54","0,54",1.047.397,9.876.954,162,3.956.053.000,"0,0000","0,0000","0,00%","0,0000","0,00%",6.619.179.000,3.477.619.000,1.374.074.000,1.419.235.000,-45.161.000,4.153.584.028,4.108.423.028,Nível 1,"25,93%",Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados,19.119,175,1.082,17.862,-,
alpk3,"2,51","2,51","4,93",-,"-42,56%",ON,"0,000",0,"5,00","5,00",1.300,5.837,1,356.524.000,,,%,,%,2.636.881.000,512.995.000,1.517.049.000,271.687.000,1.245.362.000,544.730.303,1.790.092.303,Novo Mercado,"40,77%",Bens Industriais,Serviços,Serviços Diversos,5.068,51,38,4.979,-,
alsc3,"27,75",-,-,-,-%,ON,"0,000",0,"0,21","0,14",22.671,630.481,17,2.593.964.000,"0,0000","0,0000","0,00%","0,0000","0,00%",4.738.204.000,742.653.000,0,541.181.000,-541.181.000,-,-,,--%,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis,2.710,6,301,2.403,-,
also3,"23,33","15,15","25,47","7,36","7,86%",ON,"0,471",137,"0,12","0,12",964.356,23.279.554,73,14.003.250.000,"0,5190","1,4073","171,15%","0,0000","171,15%",27.504.919.000,4.605.377.000,0,3.567.104.000,-3.567.104.000,10.375.524.331,6.808.420.331,Novo Mercado,"90,69%",Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis,73.259,1.260,283,71.716,-,
aluguel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alup11,"27,24","26,62","32,42","5,18","-2,16%",,"0,000",30,"0,34","0,34",112.541,3.484.269,56,8.114.359.000,"1,8000","1,4100","21,67%","0,0000","21,67%",30.002.997.000,6.175.583.000,12.316.629.000,3.509.100.000,8.807.529.000,8.633.688.327,17.441.217.327,Nível 2,"47,84%",Utilidade Pública,Energia Elétrica,Energia Elétrica,127.685,908,908,125.869,-,1 ON (ALUP3)
alup3,"9,12","8,84","11,15","5,15","-0,65%",ON,"0,000",0,"5,00","5,00",364,3.786,1,8.114.359.000,"0,6000","0,4700","21,67%","0,0000","21,67%",30.002.997.000,6.175.583.000,12.316.629.000,3.509.100.000,8.807.529.000,8.633.688.327,17.441.217.327,Nível 2,"47,84%",Utilidade Pública,Energia Elétrica,Energia Elétrica,127.685,908,908,125.869,-,
alup4,"9,03","8,90","10,62","5,20","-3,63%",PN,"0,000",0,"3,00","3,00",1.444,14.787,2,8.114.359.000,"0,6000","0,4700","21,67%","0,0000","21,67%",30.002.997.000,6.175.583.000,12.316.629.000,3.509.100.000,8.807.529.000,8.633.688.327,17.441.217.327,Nível 2,"47,84%",Utilidade Pública,Energia Elétrica,Energia Elétrica,127.685,908,908,125.869,-,
