Ticker,Valor atual,Min. 52 semanas,Máx. 52 semanas,Dividend Yield,Valorização (12m),Tipo,PART. IBOV,MERCADO DE OPÇÕES,TOMADOR (média),DOADOR (média),Nº DE AÇÕES ALUGADAS (dia),VOLUME (dia),Nº DE CONTRATOS,,Ano passado,Ano atual,Comparação,Provisionado,Comparação + Provisionado,Ativos,Ativo circulante,Dívida bruta,Disponibilidade,Dívida líquida,Valor de mercado,Valor de firma,Segmento de listagem,Free Float,Setor de Atuação,Subsetor de Atuação,Segmento de Atuação,Investidores,Institucional,Pessoa jurídica,Pessoa física,{helper},UNIT - Composição
rsul3,"0,00",-,-,-,-%,ON,"0,000",0,"0,00","0,00",0,0,0,205.895.000,"2,4620","1,7987","26,94%","0,0000","26,94%",387.085.000,209.086.000,11.358.000,53.096.000,-41.738.000,153.456.338,111.718.338,,"23,74%",Bens Industriais,Material de Transporte,Material Rodoviário,497,3,18,476,-,
rsul4,"61,50","59,70","81,76","3,46","-15,64%",PN,"0,000",0,"5,05","5,05",101,8.076,2,205.895.000,"2,9120","2,1269","26,96%","0,0000","26,96%",387.085.000,209.086.000,11.358.000,53.096.000,-41.738.000,153.456.338,111.718.338,,"23,74%",Bens Industriais,Material de Transporte,Material Rodoviário,497,3,18,476,-,
sanb11,"28,84","25,19","31,77","5,59","12,09%",,"0,476",130,"0,16","0,16",860.272,24.431.725,142,117.268.246.000,"1,2642","1,2078","4,47%","0,4025","27,37%",1.189.995.630.000,20.524.918.000,-,20.524.918.000,-,108.128.817.755,108.128.817.755,,"9,88%",Financeiro e Outros,Intermediários Financeiros,Bancos,248.528,1.075,16.492,230.961,-,1 ON (SANB3)
sanb3,"13,75","11,89","15,07","5,58","11,97%",ON,"0,000",0,"1,45","1,45",407.013,5.417.343,12,117.268.246.000,"0,6020","0,5751","4,47%","0,0000","4,47%",1.189.995.630.000,20.524.918.000,-,20.524.918.000,-,108.128.817.755,108.128.817.755,,"9,88%",Financeiro e Outros,Intermediários Financeiros,Bancos,248.528,1.075,16.492,230.961,-,
sanb4,"15,20","13,38","16,70","5,55","11,03%",PN,"0,000",0,"1,39","1,39",369.840,5.554.997,12,117.268.246.000,"0,6622","0,6327","4,46%","0,0000","4,46%",1.189.995.630.000,20.524.918.000,-,20.524.918.000,-,108.128.817.755,108.128.817.755,,"9,88%",Financeiro e Outros,Intermediários Financeiros,Bancos,248.528,1.075,16.492,230.961,-,
sapr11,"27,86","21,24","32,66","4,90","22,73%",,"0,000",94,"0,03","0,03",356.440,9.306.648,34,10.179.802.000,"0,9006","0,7505","16,67%","0,0000","16,67%",19.737.405.000,3.143.582.000,6.385.299.000,1.438.986.000,4.946.313.000,8.420.437.152,13.366.750.152,Nível 2,"79,97%",Utilidade Pública,Água e Saneamento,Água e Saneamento,427.251,434,1.411,425.406,-,1 ON (SAPR3)
sapr3,"5,32","4,09","6,08","4,75","24,01%",ON,"0,000",0,"8,98","8,98",14.405,73.033,4,10.179.802.000,"0,1668","0,1390","16,67%","0,0000","16,67%",19.737.405.000,3.143.582.000,6.385.299.000,1.438.986.000,4.946.313.000,8.420.437.152,13.366.750.152,Nível 2,"79,97%",Utilidade Pública,Água e Saneamento,Água e Saneamento,427.251,434,1.411,425.406,-,
sapr4,"5,63","4,18","6,57","4,94","25,67%",PN,"0,000",0,"18,80","18,80",103.438,546.153,21,10.179.802.000,"0,1835","0,1529","16,67%","0,0000","16,67%",19.737.405.000,3.143.582.000,6.385.299.000,1.438.986.000,4.946.313.000,8.420.437.152,13.366.750.152,Nível 2,"79,97%",Utilidade Pública,Água e Saneamento,Água e Saneamento,427.251,434,1.411,425.406,-,
sbfg3,"14,97","6,55","18,51","1,16","117,90%",ON,"0,000",40,"0,14","0,14",151.914,1.930.827,62,2.880.588.000,"0,1358","0,1735","27,76%","0,0000","27,76%",8.328.862.000,4.561.741.000,3.067.312.000,703.111.000,2.364.201.000,3.649.643.545,6.013.844.545,Novo Mercado,"60,25%",Consumo Cíclico,Comércio,Produtos Diversos,35.151,451,168,34.532,-,
sbsp3,"89,96","57,50","99,58","1,60","49,04%",ON,"2,814",241,"0,13","0,13",1.709.981,142.424.317,1.275,31.797.089.000,"1,2760","1,4404","12,88%","0,0000","12,88%",64.679.143.000,9.770.283.000,21.776.808.000,5.153.525.000,16.623.283.000,61.488.547.815,78.111.830.815,Novo Mercado,"100,00%",Utilidade Pública,Água e Saneamento,Água e Saneamento,35.657,212,1.477,33.968,-,
scar3,"22,24","19,73","27,21",-,"-4,47%",ON,"0,000",0,"5,00","5,00",13,343,1,1.683.648.000,"0,0000","0,0000","0,00%","0,0000","0,00%",3.093.423.000,679.281.000,1.307.806.000,159.730.000,1.148.076.000,1.284.077.975,2.432.153.975,Novo Mercado,"42,45%",Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis,4.479,91,128,4.260,-,
sedu3,"23,80",-,-,-,-%,ON,"0,000",0,"0,00","0,00",0,0,0,415.869.000,"0,0000","0,0000","0,00%","0,0000","0,00%",4.075.470.000,1.324.326.000,1.941.717.000,216.679.000,1.725.038.000,6.238.667.820,7.963.705.820,,--%,Consumo Cíclico,Diversos,Serviços Educacionais,165,17,17,131,-,
seer3,"5,85","4,60","8,65",-,"-11,09%",ON,"0,000",31,"6,68","6,68",169.711,1.072.574,39,1.240.844.000,"0,0000","0,0000","0,00%","0,0000","0,00%",3.512.696.000,930.832.000,927.297.000,315.851.000,611.446.000,753.021.126,1.364.467.126,Novo Mercado,"40,60%",Consumo Cíclico,Diversos,Serviços Educacionais,14.484,65,110,14.309,-,
seql3,"4,09","3,86","15,80",-,"-55,54%",ON,"0,000",11,"17,79","17,79",2.150.515,838.701,330,593.879.000,,,%,,%,1.993.311.000,372.123.000,562.276.000,44.196.000,518.080.000,91.688.246,609.768.246,Novo Mercado,"97,19%",Bens Industriais,Transporte,Logística,17.527,341,144,17.042,-,
sgps3,"1,64","1,48","9,00",-,"-81,78%",ON,"0,000",0,"5,15","5,15",24.082,19.506,5,165.504.000,"0,0000","0,0000","0,00%","0,0000","0,00%",2.553.722.000,759.650.000,1.064.333.000,186.932.000,877.401.000,16.400.000,893.801.000,Novo Mercado,"47,08%",Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,1.967,33,49,1.885,-,
show3,"0,97","0,89","2,90",-,"-56,50%",ON,"0,000",0,"14,93","14,93",20.005,57.414,6,168.639.000,"0,0000","0,0000","0,00%","0,0000","0,00%",449.381.000,232.900.000,80.548.000,88.358.000,-7.810.000,65.390.250,57.580.250,Novo Mercado,"49,34%",Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,15.218,23,143,15.052,-,
shul3,"27,31","27,31","27,31","0,81","0,00%",ON,"0,000",0,"0,00","0,00",0,0,0,1.362.742.000,"0,2090","0,2220","6,21%","0,0000","6,21%",2.589.090.000,1.777.075.000,777.400.000,964.937.000,-187.537.000,5.426.786.963,5.239.249.963,,"56,37%",Bens Industriais,Máquinas e Equipamentos,Motores . Compressores e Outros,27.176,117,103,26.956,-,
shul4,"6,14","5,58","7,59","4,98","-13,03%",PN,"0,000",0,"0,99","0,99",33.600,223.104,9,1.362.742.000,"0,2299","0,2437","6,02%","0,0000","6,02%",2.589.090.000,1.777.075.000,777.400.000,964.937.000,-187.537.000,5.426.786.963,5.239.249.963,,"56,37%",Bens Industriais,Máquinas e Equipamentos,Motores . Compressores e Outros,27.176,117,103,26.956,-,
simh3,"5,18","4,96","9,82",-,"-31,66%",ON,"0,000",134,"0,02","0,02",2.988.487,21.517.106,184,6.787.429.000,"0,0195","0,0000","100,00%","0,0000","100,00%",77.114.252.000,25.227.262.000,51.848.627.000,12.016.844.000,39.831.783.000,4.522.349.961,44.354.132.961,Novo Mercado,"26,00%",Financeiro e Outros,Holdings Diversificadas,Holdings Diversificadas,31.109,17,370,30.722,-,
slce3,"17,17","16,81","19,38","5,15","-2,88%",ON,"0,155",92,"0,06","0,06",1.063.043,20.910.056,219,4.896.077.000,"1,2986","0,8300","36,09%","0,0000","36,09%",15.536.244.000,7.341.432.000,5.387.071.000,1.101.801.000,4.285.270.000,7.611.971.224,11.897.241.224,Novo Mercado,"43,82%",Consumo não Cíclico,Agropecuária,Agricultura,48.770,812,308,47.650,-,
sled3,"3,21",-,-,-,-%,ON,"0,000",0,"5,00","5,00",28,0,2,-381.277.000,"0,0000","0,0000","0,00%","0,0000","0,00%",64.369.000,21.688.000,35.982.000,98.000,35.884.000,16.497.693,52.381.693,Nível 2,"331,26%",Consumo Cíclico,Comércio,Produtos Diversos,13.881,24,32,13.825,-,
sled4,"1,60",-,-,-,-%,PN,"0,000",0,"11,93","11,93",9,0,4,-381.277.000,"0,0000","0,0000","0,00%","0,0000","0,00%",64.369.000,21.688.000,35.982.000,98.000,35.884.000,16.497.693,52.381.693,Nível 2,"331,26%",Consumo Cíclico,Comércio,Produtos Diversos,13.881,24,32,13.825,-,
smft3,"22,41","18,58","26,92","0,83","13,41%",ON,"0,000",32,"0,12","0,12",691.065,18.340.865,85,5.354.792.000,"0,3524","0,0853","75,80%","0,0000","75,80%",16.006.473.000,3.706.513.000,4.794.346.000,2.814.583.000,1.979.763.000,13.137.689.696,15.117.452.696,Novo Mercado,"55,03%",Consumo Cíclico,Viagens e Lazer,Atividades Esportivas,9.866,367,61,9.438,-,
smls3,"22,40",-,-,-,-%,ON,"0,000",0,"7,18","7,18",8.604,0,11,679.678.000,"0,0000","0,0000","0,00%","0,0000","0,00%",2.734.722.000,1.641.477.000,0,64.721.000,-64.721.000,2.781.160.547,2.716.439.547,,--%,Consumo Cíclico,Diversos,Programas de Fidelização,1,0,1,0,-,
smto3,"26,46","25,12","37,04","3,39","-28,56%",ON,"0,176",104,"0,36","0,36",813.616,24.327.118,140,6.862.371.000,"1,2414","0,8962","27,81%","0,0000","27,81%",20.371.449.000,6.229.157.000,9.411.578.000,3.150.778.000,6.260.800.000,8.796.240.446,15.057.040.446,Novo Mercado,"38,54%",Consumo não Cíclico,Alimentos Processados,Açucar e Alcool,13.807,638,129,13.040,-,
snsy3,"12,75","4,90","19,46",-,"128,49%",ON,"0,000",0,"5,00","5,00",50,505,1,-1.930.166.000,"0,0000","0,0000","0,00%","0,0000","0,00%",522.063.000,309.219.000,170.259.000,11.738.000,158.521.000,60.141.991,218.662.991,,"44,32%",Materiais Básicos,Materiais Diversos,Materiais Diversos,1.733,0,57,1.676,-,
snsy5,"5,19","3,53","6,78",-,"32,74%",PNA,"0,000",0,"5,46","5,46",140,910,4,-1.930.166.000,"0,0000","0,0000","0,00%","0,0000","0,00%",522.063.000,309.219.000,170.259.000,11.738.000,158.521.000,60.141.991,218.662.991,,"44,32%",Materiais Básicos,Materiais Diversos,Materiais Diversos,1.733,0,57,1.676,-,
snsy6,"11,51","11,51","11,51",-,"0,00%",PNB,"0,000",0,"0,00","0,00",0,0,0,-1.930.166.000,"0,0000","0,0000","0,00%","0,0000","0,00%",522.063.000,309.219.000,170.259.000,11.738.000,158.521.000,60.141.991,218.662.991,,"44,32%",Materiais Básicos,Materiais Diversos,Materiais Diversos,1.733,0,57,1.676,-,
soja3,"12,17","11,46","18,73","9,00","2,87%",ON,"0,000",1,"11,95","11,95",215,3.720,1,1.294.972.000,"0,0136","0,1487","990,86%","0,0000","990,86%",3.201.582.000,2.310.779.000,954.659.000,824.393.000,130.266.000,1.646.870.492,1.777.136.492,Novo Mercado,"34,17%",Consumo não Cíclico,Agropecuária,Agricultura,41.501,2,412,41.087,-,
soma3,"5,95","5,06","8,21","1,48","8,97%",ON,"0,000",16,"0,21","0,21",1.518.390,11.387.925,136,5.809.617.000,"0,1014","0,0882","13,04%","0,0000","13,04%",9.594.558.000,4.019.489.000,1.889.210.000,770.925.000,1.118.285.000,4.669.246.869,5.787.531.869,,"63,77%",Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados,41.644,815,1.080,39.749,-,
sond3,"47,00","29,85","47,00",-,"57,45%",ON,"0,000",0,"0,00","0,00",0,0,0,52.489.000,"5,5406","0,0000","100,00%","0,0000","100,00%",100.834.000,64.661.000,0,26.112.000,-26.112.000,115.521.300,89.409.300,,"13,02%",Bens Industriais,Construção e Engenharia,Engenharia Consultiva,784,14,7,763,-,
sond5,"47,00","0,00","54,95",-,"0,60%",PNA,"0,000",0,"2,00","1,00",11,760,1,52.489.000,"6,0947","0,0000","100,00%","0,0000","100,00%",100.834.000,64.661.000,0,26.112.000,-26.112.000,115.521.300,89.409.300,,"13,02%",Bens Industriais,Construção e Engenharia,Engenharia Consultiva,784,14,7,763,-,
sond6,"47,00","0,00","55,00",-,"-4,95%",PNB,"0,000",0,"5,00","5,00",10,0,1,52.489.000,"6,0947","0,0000","100,00%","0,0000","100,00%",100.834.000,64.661.000,0,26.112.000,-26.112.000,115.521.300,89.409.300,,"13,02%",Bens Industriais,Construção e Engenharia,Engenharia Consultiva,784,14,7,763,-,
sprt3b,"76,40",-,-,-,-%,ON,"0,000",0,"0,00","0,00",0,0,0,-21.481,,,%,,%,28.388,28.388,0,28.141,-28.141,370.531.749,370.503.608,,--%,Financeiro e Outros,Outros,Outros,6,0,3,3,-,
sqia3,"27,37","27,11","27,45",-,"0,96%",ON,"0,000",0,"0,14","0,14",123.382,0,96,650.717.000,"0,0554","0,0000","100,00%","0,0000","100,00%",1.614.895.000,307.450.000,424.972.000,232.270.000,192.702.000,2.406.971.774,2.599.673.774,,"81,19%",Tecnologia da Informação,Programas e Serviços,Programas e Serviços,72.621,235,302,72.084,-,
srna3,"8,04","7,60","10,32",-,"-7,80%",ON,"0,000",4,"18,19","18,19",934.931,8.788.351,45,5.313.582.000,,,%,,%,19.346.056.000,2.312.669.000,11.763.676.000,1.347.310.000,10.416.366.000,5.006.753.670,15.423.119.670,Novo Mercado,"67,07%",Utilidade Pública,Energia Elétrica,Energia Elétrica,9.572,350,84,9.138,-,
stbp3,"14,79","6,87","14,86","5,08","104,00%",ON,"0,589",52,"0,12","0,12",597.472,8.161.468,220,2.297.947.000,"0,2050","0,5150","151,18%","0,0000","151,18%",4.819.053.000,737.950.000,537.690.000,309.154.000,228.536.000,12.781.079.758,13.009.615.758,Novo Mercado,"99,02%",Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,56.364,712,257,55.395,-,
stkf3,"0,00",-,-,-,-%,ON,"0,000",0,"0,00","0,00",0,0,0,4.993.133.000,,,%,,%,7.875.818.000,1.174.582.000,2.186.195.000,899.308.000,1.286.887.000,0,1.286.887.000,,--%,Consumo Cíclico,Viagens e Lazer,Atividades Esportivas,2,0,2,0,-,
sttr3,"0,00",-,-,-,-%,ON,"0,000",0,"0,00","0,00",0,0,0,866.910.000,"0,0000","0,0000","0,00%","0,0000","0,00%",1.558.205.000,1.150.208.000,257.808.000,331.889.000,-74.081.000,0,-74.081.000,,--%,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas,2,0,2,0,-,
sula11,"22,25","22,25","22,25",-,"0,00%",,"0,000",0,"1,17","1,17",154.966,0,195,8.363.837.000,"0,0000","0,0000","0,00%","0,0000","0,00%",30.219.218.000,19.792.419.000,3.058.759.000,17.331.084.000,-14.272.325.000,9.475.042.424,-4.797.282.576,,--%,Financeiro e Outros,Previdência e Seguros,Seguradoras,97.081,992,403,95.686,-,1 ON (SULA3)
sula3,"7,43",-,-,-,-%,ON,"0,000",0,"2,00","2,00",6,44,1,8.363.837.000,"0,0000","0,0000","0,00%","0,0000","0,00%",30.219.218.000,19.792.419.000,3.058.759.000,17.331.084.000,-14.272.325.000,9.475.042.424,-4.797.282.576,,--%,Financeiro e Outros,Previdência e Seguros,Seguradoras,97.081,992,403,95.686,-,
sula4,"7,63",-,-,-,-%,PN,"0,000",0,"3,00","3,00",63,0,1,8.363.837.000,"0,0000","0,0000","0,00%","0,0000","0,00%",30.219.218.000,19.792.419.000,3.058.759.000,17.331.084.000,-14.272.325.000,9.475.042.424,-4.797.282.576,,--%,Financeiro e Outros,Previdência e Seguros,Seguradoras,97.081,992,403,95.686,-,
suzb3,"54,60","46,64","65,23","2,13","-3,11%",ON,"1,598",305,"0,02","0,02",974.742,62.188.540,255,40.494.930.000,"0,0000","0,0000","0,00%","0,0000","0,00%",153.094.311.000,39.123.153.000,88.624.374.000,21.607.434.000,67.016.940.000,69.020.821.779,136.037.761.779,Novo Mercado,"49,90%",Materiais Básicos,Madeira e Papel,Papel e Celulose,79.147,2.225,908,76.014,-,
syne3,"7,72","2,74","8,34","37,34","168,06%",ON,"0,000",0,"7,20","7,20",8.591,75.257,9,2.005.942.000,"0,0000","2,8825","0,00%","0,0000","0,00%",4.529.388.000,1.849.055.000,997.242.000,1.368.106.000,-370.864.000,1.178.415.115,807.551.115,Novo Mercado,"39,22%",Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis,23.135,131,183,22.821,-,
taee11,"34,49","30,87","36,27","10,02","11,73%",,"0,349",152,"0,28","0,28",1.178.375,42.480.419,688,6.768.231.000,"2,3207","2,8635","23,39%","0,0000","23,39%",19.812.108.000,3.281.999.000,10.140.554.000,1.083.447.000,9.057.107.000,11.881.767.302,20.938.874.302,Nível 2,"63,45%",Utilidade Pública,Energia Elétrica,Energia Elétrica,394.546,1.175,445,392.926,-,1 ON (TAEE3)
taee3,"11,49","10,23","12,00","10,03","12,32%",ON,"0,000",0,"8,45","8,45",485,5.796,4,6.768.231.000,"0,7736","0,9545","23,39%","0,0000","23,39%",19.812.108.000,3.281.999.000,10.140.554.000,1.083.447.000,9.057.107.000,11.881.767.302,20.938.874.302,Nível 2,"63,45%",Utilidade Pública,Energia Elétrica,Energia Elétrica,394.546,1.175,445,392.926,-,
taee4,"11,55","10,32","12,12","9,98","11,92%",PN,"0,000",0,"6,81","6,81",98,1.184,2,6.768.231.000,"0,7736","0,9545","23,39%","0,0000","23,39%",19.812.108.000,3.281.999.000,10.140.554.000,1.083.447.000,9.057.107.000,11.881.767.302,20.938.874.302,Nível 2,"63,45%",Utilidade Pública,Energia Elétrica,Energia Elétrica,394.546,1.175,445,392.926,-,
tasa3,"10,47","10,37","15,22","2,90","-30,62%",ON,"0,000",0,"11,89","11,89",183,2.507,2,1.181.171.000,"1,3956","0,3035","78,26%","0,0000","78,26%",2.288.486.000,1.270.138.000,587.212.000,245.116.000,342.096.000,1.292.984.985,1.635.080.985,Nível 2,"59,57%",Bens Industriais,Máquinas e Equipamentos,Armas e Munições,83.896,8,582,83.306,-,
tasa4,"10,06","10,05","15,39","3,02","-34,63%",PN,"0,000",22,"0,41","0,41",132.856,1.737.756,38,1.181.171.000,"1,3956","0,3035","78,26%","0,0000","78,26%",2.288.486.000,1.270.138.000,587.212.000,245.116.000,342.096.000,1.292.984.985,1.635.080.985,Nível 2,"59,57%",Bens Industriais,Máquinas e Equipamentos,Armas e Munições,83.896,8,582,83.306,-,
tcno3,"1,20",-,-,-,-%,ON,"0,000",0,"2,00","2,00",2.800,0,1,-946.000,"0,0000","0,0000","0,00%","0,0000","0,00%",236.846.000,39.894.000,33.829.000,7.000,33.822.000,6.451.073,40.273.073,,--%,Bens Industriais,Construção e Engenharia,Engenharia Consultiva,-,0,0,0,-,
tcno4,"0,85",-,-,-,-%,PN,"0,000",0,"2,00","2,00",2,0,1,-946.000,"0,0000","0,0000","0,00%","0,0000","0,00%",236.846.000,39.894.000,33.829.000,7.000,33.822.000,6.451.073,40.273.073,,--%,Bens Industriais,Construção e Engenharia,Engenharia Consultiva,-,0,0,0,-,
tcsa3,"1,74","1,71","4,07",-,"-34,59%",ON,"0,000",3,"1,88","1,88",30.883,92.649,12,480.659.000,"0,0000","0,0000","0,00%","0,0000","0,00%",1.526.075.000,758.964.000,758.304.000,219.493.000,538.811.000,128.097.460,666.908.460,Novo Mercado,"60,99%",Consumo Cíclico,Construção Civil,Incorporações,41.151,112,141,40.898,-,
tecn3,"5,55","3,15","6,25","2,75","64,20%",ON,"0,000",0,"14,91","14,91",3.006,13.226,3,401.873.000,"0,0820","0,1524","85,84%","0,0000","85,84%",636.880.000,407.015.000,86.001.000,94.261.000,-8.260.000,355.789.493,347.529.493,Novo Mercado,"35,03%",Consumo Cíclico,Tecidos. Vestuário e Calçados,Acessórios,15.499,34,56,15.409,-,
teka3,"42,50","0,00","50,00",-,"360,46%",ON,"0,000",0,"2,00","2,00",98,3.636,1,-2.136.020.000,"0,0000","0,0000","0,00%","0,0000","0,00%",1.212.975.000,130.529.000,573.172.000,260.000,572.912.000,16.858.348,589.770.348,,"67,86%",Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,-,0,0,0,-,
teka4,"29,00","9,80","43,99",-,"159,16%",PN,"0,000",0,"10,00","10,00",1,0,1,-2.136.020.000,"0,0000","0,0000","0,00%","0,0000","0,00%",1.212.975.000,130.529.000,573.172.000,260.000,572.912.000,16.858.348,589.770.348,,"67,86%",Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,-,0,0,0,-,
telb3,"14,84","12,74","17,00",-,"-10,06%",ON,"0,000",0,"10,00","10,00",22,312,1,1.288.018.000,"0,0000","0,0000","0,00%","0,0000","0,00%",3.987.019.000,1.697.265.000,80.247.000,1.253.211.000,-1.172.964.000,1.182.340.529,9.376.529,,"3,68%",Comunicações,Telecomunicações,Telecomunicações,8.557,75,1.486,6.996,-,
