Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio
ALLIAR,AALR3,18.45,22.2,10.9,18723200.0
AMBEV S/A,ABEV3,16.1,15.13,22.5,438050000.0
AERIS,AERI3,7.85,37.24,6.6,13913600.0
AES BRASIL,AESB3,11.55,123.57,7.2,17879000.0
AFLUENTE T,AFLT3,8.83,26.99,51.3,7015.0
BRASILAGRO,AGRO3,24.29,4.28,33.2,25544100.0
AGROGALAXY,AGXY3,9.5,13.65,3.0,321842.0
PARQUE ANHEMBI,AHEB3,27.0,-5.64,-20.8,1560.0
PARQUE ANHEMBI,AHEB5,23.0,-4.78,-20.8,380.0
ALLIED,ALLD3,15.83,3.86,6.4,6520410.0
ALPARGATAS,ALPA3,33.36,22.97,20.4,90482.0
ALPARGATAS,ALPA4,40.03,27.73,20.4,116696000.0
ESTAPAR,ALPK3,4.48,32.62,9.5,125322.0
ALIANSCSONAE,ALSO3,20.6,16.66,43.4,32537300.0
ALUPAR,ALUP11,24.49,3.27,71.1,25465100.0
ALUPAR,ALUP3,8.14,3.26,71.1,974873.0
ALUPAR,ALUP4,8.24,3.28,71.1,972789.0
LOJAS MARISA,AMAR3,4.17,9.13,10.4,36207400.0
AMBIPAR,AMBP3,41.57,25.54,16.7,68398200.0
AMERICANAS,AMER3,29.8,47.94,3.8,275299000.0
ANIMA,ANIM3,8.81,25.48,14.2,29998000.0
ALPER S.A.,APER3,29.89,-6.01,-45.9,1561500.0
ARMAC,ARML3,22.0,,,17612800.0
AREZZO CO,ARZZ3,74.11,27.15,11.4,80394800.0
ASSAI,ASAI3,14.05,11.19,8.5,208147000.0
ATMASA,ATMP3,3.36,-23.45,-1.5,189542.0
ATOMPAR,ATOM3,3.05,7.48,21.3,108106.0
ALPHAVILLE,AVLL3,21.89,-12.79,-34.1,720714.0
AZEVEDO & TRAVASSOS,AZEV3,3.73,-7.94,-40.4,430195.0
AZEVEDO & TRAVASSOS,AZEV4,3.14,-6.17,-40.4,2006620.0
AZUL,AZUL4,24.73,-166.73,-1.2,254801000.0
BAHEMA,BAHI3,14.2,125.0,0.7,30485.0
BAUMER,BALM3,15.85,9.45,10.2,2759.0
BAUMER,BALM4,13.69,8.01,10.2,8831.0
EXCELSIOR,BAUH4,83.0,118.54,2.0,33269.0
BR Brokers,BBRK3,1.05,-4.51,-10.0,3099180.0
BAEDELLA,BDLL3,11.5,-8.71,-275.8,30189.0
BAEDELLA,BDLL4,11.0,-8.68,-275.8,5829.0
Minerva,BEEF3,8.67,5.68,7.7,74963100.0
BIOMM SA,BIOM3,13.23,-17.63,-55.5,92321.0
BK BRASIL,BKBR3,7.18,-8.52,-10.4,24871400.0
BLAU,BLAU3,35.6,12.04,36.1,17234400.0
MONARK,BMKS3,228.98,14.87,-11.1,90381.0
BEMOBI TECH,BMOB3,13.6,6.46,31.4,19308200.0
BOMBRIL SA,BOBR4,1.77,25.09,2.7,101005.0
BRADESPAR S/A,BRAP3,51.5,-641.5,,9483030.0
BRADESPAR S/A,BRAP4,53.93,-676.14,,177252000.0
BRF Foods,BRFS3,20.44,11.39,6.4,170917000.0
BRISANET,BRIT3,5.66,,,4501200.0
BRASKEM,BRKM3,64.01,2.72,26.8,2221630.0
BRASKEM,BRKM5,66.58,2.8,26.8,186991000.0
BRASKEM,BRKM6,34.0,1.79,26.8,432.0
BR MALLS PARTICIPAÇÔES S/A,BRML3,7.93,15.41,59.3,166901000.0
BR PROPERTIES,BRPR3,7.33,23.6,68.5,16491500.0
PENALTY,CAMB3,4.79,8.48,15.8,174321.0
CAMIL,CAML3,9.77,8.51,7.1,18619900.0
MELIUZ,CASH3,3.43,-240.68,-4.4,189362000.0
CASAN,CASN3,15.01,53.57,20.8,0.0
CBA,CBAV3,12.82,,,35306000.0
AMPLA ENERG,CBEE3,23.0,75.93,1.5,1725.0
COMPANHIA DE CONCESSÕES RODOVIÁRIAS,CCRO3,13.12,12.76,27.8,190710000.0
CEA MODAS,CEAB3,6.7,-16.06,-3.1,24031400.0
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR3,16.1,-1.92,-20.3,90649.0
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR5,15.7,-2.09,-20.3,52945.0
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR6,16.0,-1.97,-20.3,305496.0
CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA,CEDO3,7.01,4.4,6.5,8596.0
CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA,CEDO4,5.49,4.14,6.5,18080.0
COELBA,CEEB3,32.99,6.51,19.7,59289.0
COELBA,CEEB5,39.0,7.08,19.7,0.0
CEEE-D,CEED3,40.5,-23.18,-4.2,822.0
CEEE-D,CEED4,55.8,-28.55,-4.2,0.0
CEG,CEGR3,60.0,23.29,17.7,300.0
CELPE,CEPE5,26.32,6.85,12.6,2642.0
CELPE,CEPE6,29.99,7.1,12.6,10146.0
CESP CIA ENERGETICA SAO PAULO,CESP3,22.81,7.6,55.0,274379.0
CESP CIA ENERGETICA SAO PAULO,CESP5,33.5,10.56,55.0,246.0
CESP CIA ENERGETICA SAO PAULO,CESP6,23.14,7.69,55.0,67303100.0
COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS,CGAS3,170.0,11.26,23.1,14376.0
COMPANHIA DE GÁS DE SÃO PAULO - COMGÁSS,CGAS5,174.11,11.48,23.1,365527.0
GRAZZIOTIN,CGRA3,43.49,7.02,18.8,76814.0
GRAZZIOTIN,CGRA4,41.5,6.67,18.8,867402.0
CELESC,CLSC3,67.49,3.33,8.0,17304.0
CELESC,CLSC4,76.59,3.64,8.0,448626.0
CEMIG,CMIG3,17.92,7.53,16.6,8066000.0
CEMIG,CMIG4,13.75,6.15,16.6,138724000.0
CSNMINERACAO,CMIN3,6.54,2.55,53.8,59295700.0
CIA ENERG CEARA - COELCE,COCE3,60.0,12.47,8.4,766.0
CIA ENERG CEARA - COELCE,COCE5,57.14,12.11,8.4,1001590.0
COGNA,COGN3,2.49,-49.29,-5.1,111007000.0
CPFL ENERGIA S.A.,CPFE3,27.21,6.78,18.0,127841000.0
COPEL,CPLE11,30.34,5.69,17.1,15308600.0
COPEL,CPLE3,5.75,5.47,17.1,11148100.0
COPEL,CPLE5,30.01,22.47,17.1,2253.0
COPEL,CPLE6,6.24,5.81,17.1,122186000.0
CR2,CRDE3,16.97,-2.67,-460.7,19144.0
CARREFOUR BR,CRFB3,14.85,7.8,6.6,78687000.0
CRISTAL,CRPG3,94.69,11.21,23.2,237.0
CRISTAL,CRPG5,68.29,7.82,23.2,3312520.0
CRISTAL,CRPG6,68.5,7.84,23.2,36142.0
COSAN SA INDUSTRIA E COMERCIO,CSAN3,21.97,21.59,15.2,171513000.0
CRUZEIRO EDU,CSED3,7.2,9.68,16.1,5835560.0
COPASA MG,CSMG3,13.26,5.98,21.9,29950100.0
CSN,CSNA3,24.41,2.3,41.5,331589000.0
COSERN,CSRN3,16.0,6.63,18.4,9353.0
COSERN,CSRN5,15.83,6.59,18.4,1263.0
COSERN,CSRN6,17.17,6.93,18.4,544.0
KARSTEN,CTKA3,26.7,13.84,9.7,1679.0
KARSTEN,CTKA4,19.0,12.86,9.7,37755.0
COTEMINAS,CTNM3,9.1,7.28,8.6,1385.0
COTEMINAS,CTNM4,3.64,6.45,8.6,78724.0
SANTANENSE,CTSA3,1.95,15.17,4.4,33041.0
SANTANENSE,CTSA4,1.41,12.94,4.4,52245.0
CURY S/A,CURY3,6.9,5.19,22.4,6703920.0
CVC BRASIL,CVCB3,14.69,-8.58,-60.9,160718000.0
CYRELA BRAZIL REALTY,CYRE3,15.19,9.37,17.1,137390000.0
DIAGNOSTICOS DA AMERICA SA,DASA3,35.5,143.45,1.6,9256610.0
DESKTOPSIGMA,DESK3,16.26,,,8274130.0
DEXXOS PAR,DEXP3,9.67,5.95,11.9,5878970.0
DEXXOS PAR,DEXP4,8.12,5.13,11.9,70920.0
Direcional Engenharia,DIRR3,11.87,6.7,18.1,20709200.0
DOMMO,DMMO3,0.61,3.23,34.2,2978720.0
D1000VFARMA,DMVF3,5.08,2.45,7.6,593380.0
DOHLER,DOHL3,17.51,13.71,14.0,721.0
DOHLER,DOHL4,6.11,4.77,14.0,43142.0
DOTZ SA,DOTZ3,3.15,,,540911.0
DTCOM,DTCY3,7.4,-35.05,-21.6,8269.0
DEXCO,DXCO3,18.37,9.52,19.4,52651900.0
ELECTRO AÇO ALTONA S/A,EALT3,11.8,10.39,10.2,4529.0
ELECTRO AÇO ALTONA S/A,EALT4,5.99,6.59,10.2,140909.0
ECORODOVIAS,ECOR3,8.81,7.23,42.6,65105700.0
ENCORPAR,ECPR3,79.89,-65.54,,0.0
CEEE,EEEL3,375.0,9.37,33.5,2663.0
ENGIE BRASIL,EGIE3,39.31,8.0,43.1,57505800.0
ELEKTRO ELETRICIDADE E SERVIÇOS S.A.,EKTR3,36.08,8.32,15.6,90.0
ELEKTRO ELETRICIDADE E SERVIÇOS S.A.,EKTR4,24.8,6.61,15.6,29911.0
ELETROBRÁS,ELET3,35.14,-22.7,-11.8,182802000.0
ELETROBRÁS,ELET5,65.0,-36.01,-11.8,488.0
ELETROBRÁS,ELET6,34.55,-22.44,-11.8,93225800.0
ELETROMIDIA,ELMD3,10.25,-47.89,-8.7,3196800.0
EMAE,EMAE4,55.38,9.74,36.1,327495.0
EMBRAER,EMBR3,20.3,12.75,7.5,207096000.0
ENAUTA PART,ENAT3,14.56,6.46,28.0,20763200.0
EDP ENERGIAS DO BRASIL S/A,ENBR3,21.26,5.4,20.4,78595600.0
ENEVA,ENEV3,14.67,18.8,27.7,86200400.0
ENERGISA,ENGI11,45.62,7.36,17.6,102455000.0
ENERGISA,ENGI3,16.48,10.33,17.6,140184.0
ENERGISA,ENGI4,7.25,6.61,17.6,186339.0
ENJOEI,ENJU3,3.27,-1.99,-108.6,10631100.0
ENERGISA MT,ENMT3,79.67,12.23,25.4,77428.0
ENERGISA MT,ENMT4,80.3,12.31,25.4,7693.0
EMBPAR S/A,EPAR3,15.12,4.21,6.3,52054.0
EQTL PARA,EQPA3,5.03,7.56,23.5,34002.0
EQTL PARA,EQPA5,7.08,10.16,23.5,9054.0
EQTL PARAC,EQPA7,7.0,10.05,23.5,246.0
EQUATORIAL ENERGIA S.A.,EQTL3,23.35,6.98,23.2,182037000.0
ESPACOLASER,ESPA3,8.63,12.97,27.9,23661200.0
ESTRELA,ESTR3,40.0,4.85,13.5,0.0
ESTRELA,ESTR4,67.18,5.77,13.5,1633.0
ETERNIT,ETER3,17.34,2.88,27.8,22475100.0
EUCATEX,EUCA3,13.49,3.92,18.3,117669.0
EUCATEX,EUCA4,9.3,2.98,18.3,871823.0
Even,EVEN3,6.3,1.56,16.8,13896600.0
EZTec,EZTC3,19.56,12.5,26.3,57857200.0
FERBASA,FESA3,50.0,6.91,29.0,19394.0
FERBASA,FESA4,49.4,6.83,29.0,26975100.0
Fer Heringer,FHER3,21.21,3.3,14.4,48512200.0
UNIFIQUE,FIQE3,6.09,,,4296910.0
FLEURY,FLRY3,18.8,11.2,19.0,42482400.0
FRAS-LE S.A.,FRAS3,13.06,10.29,13.5,2202200.0
Metalfrio,FRIO3,50.59,16.62,3.5,2303.0
POMIFRUTAS,FRTA3,5.65,-269.15,-1.6,30721.0
"DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA",GEPA3,32.0,4.07,78.9,3115.0
"DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA",GEPA4,31.7,4.04,78.9,70008.0
GAFISA,GFSA3,2.18,11.87,10.5,22643100.0
GERDAU S.A.,GGBR3,23.32,2.99,23.2,2098010.0
GERDAU S.A.,GGBR4,28.95,3.58,23.2,372056000.0
GPS,GGPS3,16.45,,,23194000.0
GRUPO MATEUS,GMAT3,6.29,15.19,6.2,37682300.0
INTERMEDICA,GNDI3,63.4,85.85,3.9,262522000.0
METALÚRGICA GERDAU,GOAU3,10.56,1.14,23.2,2092940.0
METALÚRGICA GERDAU,GOAU4,11.89,1.23,23.2,149708000.0
GOL LINHAS AEREAS INTELIGENTES SA,GOLL4,17.11,-7.74,-35.2,125910000.0
CELGPAR,GPAR3,43.0,14.64,92.9,4767.0
GRENDENE SA,GRND3,8.68,13.81,19.2,20451700.0
Generalshopp,GSHP3,36.7,40.57,33.3,29066.0
GUARARAPES CONFECÇÕES,GUAR3,10.77,25.64,4.0,11048600.0
HAGA,HAGA3,5.5,13.63,10.2,97168.0
HAGA,HAGA4,2.04,4.66,10.2,139712.0
HAPVIDA,HAPV3,11.18,82.36,5.5,236206000.0
Helbor,HBOR3,4.58,21.02,7.1,7865690.0
HBR REALTY,HBRE3,9.2,20.32,86.7,202158.0
HIDROVIAS,HBSA3,2.92,31.91,15.2,14858800.0
CIA HABITASUL,HBTS5,49.85,3.2,58.9,12104.0
HERCULES S/A,HETA3,96.0,568.56,28.3,0.0
HERCULES S/A,HETA4,10.38,502.09,28.3,139588.0
HOTEIS OTHON S.A.,HOOT4,2.83,-1.68,-88.5,181768.0
HYPERA,HYPE3,28.71,13.93,29.6,99153900.0
INFRACOMM,IFCM3,15.4,,,16182000.0
GRADIENTE,IGBR3,33.9,-5.96,,2060690.0
