Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio
ALLIAR,AALR3,14.3,18.3,10.9,18415400.0
AMBEV S/A,ABEV3,15.55,14.58,22.5,439519000.0
AERIS,AERI3,6.39,30.88,6.6,14111800.0
AES BRASIL,AESB3,10.86,119.71,7.2,13902100.0
AFLUENTE T,AFLT3,8.66,26.45,51.3,6180.0
BRASILAGRO,AGRO3,27.55,4.96,33.2,21406600.0
AGROGALAXY,AGXY3,10.2,14.34,3.0,336536.0
PARQUE ANHEMBI,AHEB3,27.5,-5.74,-20.8,4774.0
PARQUE ANHEMBI,AHEB5,24.97,-5.2,-20.8,421.0
ALLIED,ALLD3,14.5,3.53,6.4,4818450.0
ALPARGATAS,ALPA3,31.47,21.63,20.4,90091.0
ALPARGATAS,ALPA4,36.54,25.24,20.4,107932000.0
ESTAPAR,ALPK3,4.07,31.43,9.5,106049.0
ALIANSCSONAE,ALSO3,20.45,16.56,43.4,32170300.0
ALUPAR,ALUP11,23.97,3.24,71.1,24257300.0
ALUPAR,ALUP3,7.85,3.21,71.1,105889.0
ALUPAR,ALUP4,7.93,3.22,71.1,112615.0
LOJAS MARISA,AMAR3,3.64,8.58,10.4,35682500.0
AMBIPAR,AMBP3,40.8,25.18,16.7,49943100.0
AMERICANAS,AMER3,30.73,49.26,3.8,225823000.0
ANIMA,ANIM3,8.22,24.72,14.2,29530300.0
ALPER S.A.,APER3,32.41,-6.66,-45.9,1726180.0
ARMAC,ARML3,25.96,,,18055800.0
AREZZO CO,ARZZ3,74.17,27.18,11.4,76452700.0
ASSAI,ASAI3,14.09,11.21,8.5,139130000.0
ATMASA,ATMP3,2.95,-22.77,-1.5,161259.0
ATOMPAR,ATOM3,2.72,6.41,21.3,90977.0
ALPHAVILLE,AVLL3,29.7,-14.57,-34.1,659852.0
AZEVEDO & TRAVASSOS,AZEV3,5.2,-12.34,-40.4,404525.0
AZEVEDO & TRAVASSOS,AZEV4,4.43,-10.03,-40.4,1710110.0
AZUL,AZUL4,26.46,-173.24,-1.2,242559000.0
BAHEMA,BAHI3,15.2,134.54,0.7,41747.0
BAUMER,BALM3,15.7,9.35,10.2,2770.0
BAUMER,BALM4,12.54,7.24,10.2,5381.0
EXCELSIOR,BAUH4,82.91,118.41,2.0,30602.0
BR Brokers,BBRK3,1.05,-4.51,-10.0,2376980.0
BAEDELLA,BDLL3,11.8,-8.73,-275.8,27049.0
BAEDELLA,BDLL4,11.0,-8.68,-275.8,5394.0
Minerva,BEEF3,10.53,6.3,7.7,74748500.0
BIOMM SA,BIOM3,13.2,-17.6,-55.5,170869.0
BK BRASIL,BKBR3,5.9,-7.23,-10.4,22564400.0
BLAU,BLAU3,35.24,11.91,36.1,15662300.0
MONARK,BMKS3,228.99,14.87,-11.1,8902.0
BEMOBI TECH,BMOB3,13.81,6.66,31.4,15240900.0
BOMBRIL SA,BOBR4,1.66,24.13,2.7,75224.0
BRADESPAR S/A,BRAP3,21.83,-218.54,,10860900.0
BRADESPAR S/A,BRAP4,24.01,-249.61,,234027000.0
BRF Foods,BRFS3,22.62,11.99,6.4,164556000.0
BRISANET,BRIT3,4.86,,,3449520.0
BRASKEM,BRKM3,54.7,2.43,26.8,3103900.0
BRASKEM,BRKM5,57.24,2.51,26.8,206473000.0
BRASKEM,BRKM6,34.0,1.79,26.8,325.0
BR MALLS PARTICIPAÇÔES S/A,BRML3,7.73,15.13,59.3,157279000.0
BR PROPERTIES,BRPR3,7.12,23.16,68.5,15093100.0
PENALTY,CAMB3,4.81,8.5,15.8,141154.0
CAMIL,CAML3,10.09,8.71,7.1,16453000.0
MELIUZ,CASH3,3.1,-211.51,-4.4,181923000.0
CASAN,CASN3,15.01,58.1,20.8,0.0
CBA,CBAV3,12.4,,,30935700.0
AMPLA ENERG,CBEE3,23.01,75.95,1.5,2683.0
COMPANHIA DE CONCESSÕES RODOVIÁRIAS,CCRO3,11.92,12.03,27.8,170621000.0
CEA MODAS,CEAB3,5.95,-14.55,-3.1,22409600.0
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR3,15.07,-2.35,-20.3,60792.0
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR5,14.58,-2.55,-20.3,26755.0
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR6,14.2,-2.71,-20.3,92358.0
CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA,CEDO3,7.0,4.4,6.5,8604.0
