Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio
ALLIAR,AALR3,16.72,20.57,10.9,11839300.0
AMBEV S/A,ABEV3,14.52,13.54,22.5,324112000.0
AERIS,AERI3,6.56,31.62,6.6,14229800.0
AES BRASIL,AESB3,11.47,123.12,7.2,12173200.0
AFLUENTE T,AFLT3,8.8,26.89,51.3,4376.0
BRASILAGRO,AGRO3,28.95,5.25,33.2,16205400.0
AGROGALAXY,AGXY3,12.0,16.11,3.0,1022720.0
PARQUE ANHEMBI,AHEB3,27.5,-5.74,-20.8,4183.0
PARQUE ANHEMBI,AHEB5,22.0,-4.56,-20.8,112.0
PARQUE ANHEMBI,AHEB6,51.5,-10.9,-20.8,0.0
ALLIED,ALLD3,15.66,3.82,6.4,2535910.0
ALPARGATAS,ALPA3,24.62,16.74,20.4,93947.0
ALPARGATAS,ALPA4,26.42,18.03,20.4,94402000.0
ESTAPAR,ALPK3,4.31,32.13,9.5,76827.0
ALIANSCSONAE,ALSO3,22.11,17.72,43.4,33389600.0
ALUPAR,ALUP11,25.12,3.31,71.1,20117900.0
ALUPAR,ALUP3,8.36,3.31,71.1,94745.0
ALUPAR,ALUP4,8.4,3.31,71.1,114034.0
LOJAS MARISA,AMAR3,3.49,8.43,10.4,25728000.0
AMBIPAR,AMBP3,40.6,25.09,16.7,30544600.0
AMERICANAS,AMER3,31.21,49.16,3.8,235811000.0
ANIMA,ANIM3,8.38,24.93,14.2,21989900.0
ALPER S.A.,APER3,34.01,-7.08,-45.9,1795280.0
ARMAC,ARML3,22.4,,,15915100.0
AREZZO CO,ARZZ3,82.0,29.95,11.4,74843600.0
ASSAI,ASAI3,12.5,10.22,8.5,133193000.0
ATMASA,ATMP3,2.75,-22.43,-1.5,158303.0
ATOMPAR,ATOM3,3.28,8.23,21.3,178049.0
ALPHAVILLE,AVLL3,30.99,-14.86,-34.1,95706.0
AZEVEDO & TRAVASSOS,AZEV3,3.99,-8.72,-40.4,287453.0
AZEVEDO & TRAVASSOS,AZEV4,3.25,-6.5,-40.4,1870810.0
AZUL,AZUL4,27.65,-177.72,-1.2,200745000.0
B3,B3SA3,14.13,11.76,63.2,542269000.0
BAHEMA,BAHI3,14.35,134.6,0.7,54628.0
BAUMER,BALM3,15.58,9.27,10.2,1404.0
BAUMER,BALM4,11.89,6.8,10.2,5687.0
EXCELSIOR,BAUH4,84.89,121.31,2.0,36396.0
BR Brokers,BBRK3,1.22,-5.48,-10.0,1742880.0
BAEDELLA,BDLL3,10.82,-8.68,-275.8,2583.0
BAEDELLA,BDLL4,10.01,-8.63,-275.8,5109.0
Minerva,BEEF3,9.07,5.85,7.7,65582900.0
BIOMM SA,BIOM3,14.05,-19.99,-55.5,188328.0
BK BRASIL,BKBR3,6.41,-7.75,-10.4,13551900.0
BLAU,BLAU3,35.5,12.01,36.1,12602800.0
B TECH EQI,BLUT3,1.73,-25.52,,338473.0
B TECH EQI,BLUT4,0.96,-15.96,,564584.0
MONARK,BMKS3,246.97,11.09,-11.1,11280.0
BEMOBI TECH,BMOB3,14.95,7.76,31.4,13184200.0
BOA VISTA,BOAS3,5.73,11.98,22.4,8131520.0
BOMBRIL SA,BOBR3,1.0,18.36,2.7,0.0
BOMBRIL SA,BOBR4,1.55,23.17,2.7,74696.0
BRADESPAR S/A,BRAP3,25.4,-269.43,,8979470.0
BRADESPAR S/A,BRAP4,28.13,-308.35,,216762000.0
BR PARTNERS,BRBI11,17.85,,,3362950.0
BRF Foods,BRFS3,19.95,11.26,6.4,229083000.0
BRISANET,BRIT3,4.48,,,3435140.0
BRASKEM,BRKM3,47.93,2.22,26.8,2905000.0
BRASKEM,BRKM5,51.04,2.32,26.8,216707000.0
BRASKEM,BRKM6,38.79,1.94,26.8,632.0
BR MALLS PARTICIPAÇÔES S/A,BRML3,9.36,17.46,59.3,201189000.0
BR PROPERTIES,BRPR3,7.03,22.97,68.5,13601900.0
CAL S/A,CALI3,98.18,10.91,10.9,0.0
CAL S/A,CALI4,50.0,8.45,10.9,0.0
PENALTY,CAMB3,4.42,8.0,15.8,135223.0
CAMIL,CAML3,9.26,9.7,6.3,17885100.0
CSU CARDSYST,CARD3,14.44,7.48,16.5,3386400.0
MELIUZ,CASH3,2.85,-189.43,-4.4,169344000.0
CBA,CBAV3,17.39,,,33470400.0
AMPLA ENERG,CBEE3,23.01,75.95,1.5,9937.0
COMPANHIA DE CONCESSÕES RODOVIÁRIAS,CCRO3,12.75,12.54,27.8,115753000.0
CEA MODAS,CEAB3,6.21,-15.08,-3.1,15773900.0
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR3,15.5,-2.17,-20.3,38721.0
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR5,14.95,-2.4,-20.3,17679.0
CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,CEBR6,14.59,-2.55,-20.3,104964.0
CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA,CEDO3,7.13,4.42,6.5,5777.0
CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA,CEDO4,5.56,4.16,6.5,41400.0
COELBA,CEEB3,33.7,6.58,19.7,77187.0
COELBA,CEEB5,39.0,7.08,19.7,0.0
CEEE-D,CEED3,59.99,-30.02,-4.2,1974.0
CEEE-D,CEED4,55.8,-28.55,-4.2,0.0
CEG,CEGR3,57.99,22.55,17.7,276.0
CELPE,CEPE3,128.0,13.92,12.6,0.0
CELPE,CEPE5,25.0,6.76,12.6,3394.0
CELPE,CEPE6,26.1,6.83,12.6,3487.0
CESP CIA ENERGETICA SAO PAULO,CESP3,23.29,7.73,55.0,127752.0
CESP CIA ENERGETICA SAO PAULO,CESP5,26.1,8.51,55.0,6549.0
CESP CIA ENERGETICA SAO PAULO,CESP6,23.29,7.73,55.0,46134300.0
COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS,CGAS3,131.0,9.13,23.1,75691.0
COMPANHIA DE GÁS DE SÃO PAULO - COMGÁSS,CGAS5,128.86,9.02,23.1,990320.0
GRAZZIOTIN,CGRA3,39.49,6.21,18.8,56291.0
GRAZZIOTIN,CGRA4,39.0,6.12,18.8,370070.0
CIELO,CIEL3,2.33,3.34,16.5,57852600.0
CLEARSALE,CLSA3,11.39,,,18503000.0
CELESC,CLSC3,61.8,3.13,8.0,26045.0
CELESC,CLSC4,65.7,3.26,8.0,643574.0
CEMIG,CMIG3,18.24,7.64,16.6,5726520.0
CEMIG,CMIG4,13.03,5.91,16.6,96263700.0
CSNMINERACAO,CMIN3,7.17,2.86,53.8,62989200.0
CIA ENERG CEARA - COELCE,COCE3,58.92,12.33,8.4,543.0
CIA ENERG CEARA - COELCE,COCE5,54.76,11.81,8.4,491981.0
COGNA,COGN3,2.51,-49.46,-5.1,78424800.0
CORREA RIBEIRO SA COM. IND.,CORR4,82.0,18.34,-18.0,0.0
CPFL ENERGIA S.A.,CPFE3,28.37,6.98,18.0,67579200.0
COPEL,CPLE11,34.9,6.33,17.1,13687800.0
COPEL,CPLE3,6.55,6.03,17.1,6148020.0
COPEL,CPLE5,31.0,23.16,17.1,2017.0
COPEL,CPLE6,7.1,6.41,17.1,80960400.0
CR2,CRDE3,17.0,-2.68,-460.7,9068.0
CARREFOUR BR,CRFB3,16.57,8.48,6.6,70355700.0
CRISTAL,CRPG3,75.78,8.78,23.2,180.0
CRISTAL,CRPG5,61.5,6.94,23.2,984333.0
CRISTAL,CRPG6,62.99,7.14,23.2,24528.0
COSAN SA INDUSTRIA E COMERCIO,CSAN3,23.63,22.52,15.2,140984000.0
CRUZEIRO EDU,CSED3,6.3,8.5,16.1,5351610.0
COPASA MG,CSMG3,13.04,5.91,21.9,23304700.0
CSN,CSNA3,26.96,2.48,41.5,295512000.0
COSERN,CSRN3,15.15,6.41,18.4,12357.0
COSERN,CSRN5,15.25,6.43,18.4,614.0
COSERN,CSRN6,16.1,6.66,18.4,367.0
KARSTEN,CTKA3,27.5,13.95,9.7,471.0
KARSTEN,CTKA4,11.7,11.93,9.7,82005.0
COTEMINAS,CTNM3,8.38,7.17,8.6,359.0
COTEMINAS,CTNM4,3.72,6.46,8.6,37285.0
SANTANENSE,CTSA3,1.91,15.01,4.4,65488.0
SANTANENSE,CTSA4,1.28,12.4,4.4,129057.0
CURY S/A,CURY3,8.29,6.32,22.4,6886250.0
CVC BRASIL,CVCB3,13.43,-7.89,-60.9,132567000.0
CYRELA BRAZIL REALTY,CYRE3,16.82,10.21,17.1,117529000.0
DIAGNOSTICOS DA AMERICA SA,DASA3,28.6,121.76,1.6,12138600.0
DESKTOPSIGMA,DESK3,18.33,,,6134320.0
DEXXOS PAR,DEXP3,9.6,5.91,11.9,4344430.0
DEXXOS PAR,DEXP4,8.06,5.1,11.9,54359.0
Direcional Engenharia,DIRR3,13.69,7.57,18.1,21898200.0
DOMMO,DMMO3,0.95,8.67,34.2,8668420.0
D1000VFARMA,DMVF3,4.38,2.02,7.6,410258.0
DOHLER,DOHL3,19.0,14.88,14.0,93.0
DOHLER,DOHL4,6.04,4.71,14.0,27940.0
DOTZ SA,DOTZ3,3.06,,,342284.0
DTCOM,DTCY3,7.55,-35.76,-21.6,423.0
DEXCO,DXCO3,14.24,8.28,19.4,49021400.0
ELECTRO AÇO ALTONA S/A,EALT3,10.79,9.73,10.2,2188.0
ELECTRO AÇO ALTONA S/A,EALT4,7.55,7.61,10.2,287822.0
ECORODOVIAS,ECOR3,7.6,6.78,42.6,48784300.0
ENCORPAR,ECPR3,79.89,-65.54,,0.0
ENCORPAR,ECPR4,85.8,-70.4,,0.0
CEEE,EEEL3,400.0,9.98,33.5,952.0
CEEE,EEEL4,399.0,9.95,33.5,950.0
ENGIE BRASIL,EGIE3,40.4,8.15,43.1,46304900.0
ELEKTRO ELETRICIDADE E SERVIÇOS S.A.,EKTR3,33.73,7.97,15.6,404.0
ELEKTRO ELETRICIDADE E SERVIÇOS S.A.,EKTR4,25.0,6.64,15.6,14481.0
ELETROBRÁS,ELET3,33.88,-22.14,-11.8,177168000.0
ELETROBRÁS,ELET5,64.5,-35.79,-11.8,154.0
ELETROBRÁS,ELET6,32.8,-21.66,-11.8,88960200.0
ELETROMIDIA,ELMD3,14.5,-67.54,-8.7,1750550.0
EMAE,EMAE4,48.32,8.29,36.1,558104.0
EMBRAER,EMBR3,19.99,12.64,7.5,225567000.0
ENAUTA PART,ENAT3,15.5,7.14,28.0,17668000.0
EDP ENERGIAS DO BRASIL S/A,ENBR3,21.02,5.36,20.4,68804200.0
ENEVA,ENEV3,13.22,17.38,27.7,89599600.0
ENERGISA,ENGI11,43.5,7.19,17.6,71769900.0
ENERGISA,ENGI3,14.17,9.39,17.6,139450.0
ENERGISA,ENGI4,7.26,6.61,17.6,263362.0
ENJOEI,ENJU3,2.98,-1.49,-108.6,8849070.0
ENERGISA MT,ENMT3,77.76,11.99,25.4,314299.0
ENERGISA MT,ENMT4,81.79,12.5,25.4,2100.0
EMBPAR S/A,EPAR3,14.85,4.14,6.3,32102.0
EQTL PARA,EQPA3,5.6,8.28,23.5,41269.0
EQTL PARA,EQPA5,7.3,10.43,23.5,5877.0
EQTL PARA,EQPA6,10.68,14.71,23.5,0.0
EQTL PARAC,EQPA7,6.62,9.57,23.5,111.0
EQUATORIAL ENERGIA S.A.,EQTL3,22.93,6.89,23.2,131566000.0
ESPACOLASER,ESPA3,6.21,10.16,27.9,23610500.0
ESTRELA,ESTR3,40.0,4.85,13.5,0.0
ESTRELA,ESTR4,67.18,5.77,13.5,0.0
ETERNIT,ETER3,18.33,3.08,27.8,40910500.0
EUCATEX,EUCA3,14.35,4.11,18.3,122251.0
EUCATEX,EUCA4,9.07,2.93,18.3,479863.0
Even,EVEN3,7.23,2.09,16.8,12472000.0
EZTec,EZTC3,20.57,13.34,26.3,44480400.0
FERBASA,FESA3,50.0,6.91,29.0,18642.0
FERBASA,FESA4,48.82,6.75,29.0,24164800.0
Fer Heringer,FHER3,15.31,2.66,14.4,23885500.0
UNIFIQUE,FIQE3,6.68,,,3206940.0
FLEURY,FLRY3,19.55,11.53,19.0,35428800.0
FRAS-LE S.A.,FRAS3,12.2,9.73,13.5,2680080.0
Metalfrio,FRIO3,50.59,16.62,3.5,120.0
POMIFRUTAS,FRTA3,4.89,-263.39,-1.6,23525.0
